src,edge_attr,dst
0,location.location.people_born_here,1
2,base.gender.personal_gender_identity.gender_identity,3
4,royalty.noble_person.titles,5
1,freebase.valuenotation.is_reviewed,6
7,military.military_combatant_group.combatants,8
9,book.book_subject.works,10
11,base.thoroughbredracing.horse_owner_relationship.owner,4
12,business.employment_tenure.company,13
14,military.military_combatant_group.combatants,8
15,people.person.gender,16
17,people.family.members,18
19,people.person.gender,3
20,common.image.appears_in_topic_gallery,21
22,common.image.appears_in_topic_gallery,4
23,business.employment_tenure.company,13
8,military.military_combatant.military_conflicts,24
13,religion.religious_organization.jurisdictions,25
26,architecture.structure.architect,27
28,location.country.official_language,29
30,base.eventparticipants.participated_event.notable_participants,31
32,people.person.gender,3
33,military.military_combatant.military_conflicts,34
35,people.family.country,36
37,people.sibling_relationship.sibling,4
38,people.sibling_relationship.sibling,39
13,religion.religious_organization.jurisdictions,40
41,government.government_office_or_title.office_holders,42
43,people.sibling_relationship.sibling,44
45,military.military_combatant_group.combatants,8
46,people.person.religion,47
1,people.deceased_person.cause_of_death,48
49,tv.tv_program_guest.appeared_on,50
51,organization.organization_membership.member,52
53,common.topic.notable_types,54
3,medicine.risk_factor.diseases,55
56,people.person.nationality,57
58,people.sibling_relationship.sibling,49
59,freebase.type_hints.included_types,60
52,people.deceased_person.place_of_death,61
62,protected_sites.natural_or_cultural_site_listing.listed_site,0
49,people.person.parents,63
64,tv.tv_guest_role.special_performance_type,65
26,common.topic.notable_for,66
67,music.recording.artist,1
68,award.award_winner.awards_won,69
26,common.topic.notable_types,70
17,people.family.members,71
72,location.country.official_language,29
1,common.topic.image,73
74,freebase.valuenotation.is_reviewed,75
26,common.topic.image,26
39,common.topic.image,76
3,medicine.risk_factor.diseases,77
54,freebase.type_hints.included_types,78
79,people.person.nationality,57
3,medicine.risk_factor.diseases,80
81,medicine.disease.parent_disease,82
3,medicine.risk_factor.diseases,83
68,freebase.valuenotation.is_reviewed,84
85,business.employment_tenure.company,13
49,people.deceased_person.place_of_death,86
87,book.book_subject.works,88
1,film.person_or_entity_appearing_in_film.films,89
4,military.military_person.service,90
91,people.place_of_interment.interred_here,92
93,royalty.monarch.kingdom,36
94,organization.organization_membership.member,32
13,business.employer.employees,95
96,royalty.order_of_chivalry.chivalric_rank,97
52,common.topic.notable_types,98
99,military.military_combatant_group.combatants,8
13,business.employer.employees,100
101,people.person.place_of_birth,102
17,royalty.royal_line.kingdom_s_ruled,103
13,base.anglican.church.dioceses,104
105,people.family_member.family,17
8,government.governmental_jurisdiction.governing_officials,106
107,medicine.disease.risk_factors,3
26,location.location.people_born_here,108
49,royalty.noble_person.titles,109
13,base.anglican.church.dioceses,110
32,royalty.chivalric_order_member.belongs_to_order,111
112,people.person.children,113
13,base.anglican.church.dioceses,114
115,architecture.ownership.owner,13
116,people.person.sibling_s,37
117,people.cause_of_death.parent_cause_of_death,82
4,people.person.nationality,28
118,common.image.appears_in_topic_gallery,44
52,people.person.sibling_s,119
120,people.deceased_person.cause_of_death,121
32,film.film_subject.films,122
52,base.popstra.celebrity.canoodled,123
3,base.gender.gender_identity.people,124
125,people.person.gender,3
126,people.person.parents,127
128,common.topic.image,129
49,fictional_universe.person_in_fiction.representations_in_fiction,130
35,royalty.royal_line.monarchs_from_this_line,131
132,architecture.structure.architect,133
3,biology.hybrid_parent_gender.hybrids,134
26,common.topic.article,135
4,film.person_or_entity_appearing_in_film.films,136
137,medicine.disease.symptoms,138
139,freebase.valuenotation.has_value,140
141,government.government_position_held.basic_title,142
21,music.artist.track,67
143,book.written_work.subjects,87
89,film.personal_film_appearance.film,144
145,base.gender.personal_gender_identity.gender_identity,3
146,royalty.monarch.royal_line,35
147,location.administrative_division.country,57
148,people.family_member.family,149
126,people.person.parents,150
30,base.eventparticipants.participated_event.notable_participants,151
152,people.cause_of_death.parent_cause_of_death,153
154,royalty.chivalric_title.title_holders,155
156,government.government_position_held.jurisdiction_of_office,8
44,people.person.children,157
91,people.place_of_interment.interred_here,158
57,location.country.first_level_divisions,159
1,base.godparents.godparent.godchildren,49
160,military.military_combatant_group.combatants,8
161,biology.organism.sex,3
162,people.person.gender,3
163,people.deceased_person.cause_of_death,121
164,people.person.nationality,28
165,owl#inverseOf,166
167,base.ontologies.ontology_instance_mapping.ontology,168
20,common.image.appears_in_topic_gallery,87
169,education.educational_institution_campus.educational_institution,169
170,people.person.children,171
172,business.employment_tenure.company,13
173,royalty.chivalric_order_membership.order,96
123,base.popstra.canoodled.participant,52
174,location.country.form_of_government,175
147,location.location.containedby,102
13,religion.religious_organization.jurisdictions,176
177,military.military_combatant_group.conflict,178
8,military.military_combatant.military_conflicts,179
3,common.topic.article,180
13,business.employer.employees,181
173,royalty.chivalric_order_membership.presented_by,4
13,religion.religious_organization.jurisdictions,182
148,base.godparents.godparent.godchildren,49
183,common.webpage.topic,4
184,common.topic.webpage,185
167,base.ontologies.ontology_instance_mapping.freebase_topic,186
142,government.government_office_category.offices,187
17,people.family.members,188
96,award.award_category.winners,189
190,type.property.schema,191
192,award.award_honor.award,96
46,people.family_member.family,17
17,people.family.country,193
194,music.recording.artist,4
195,people.person.children,68
186,common.topic.image,196
197,architecture.ownership.owner,13
91,people.place_of_interment.interred_here,56
198,event.disaster_victim.killed_in_disaster,87
147,location.administrative_division.second_level_division_of,159
8,military.military_combatant.military_conflicts,199
143,book.written_work.subjects,49
200,government.government_position_held.basic_title,142
201,common.topic.notable_types,202
26,architecture.structure.architect,203
116,people.person.sibling_s,204
21,people.deceased_person.cause_of_death,205
17,people.family.members,206
6,rdf-schema#range,78
207,base.horseracing.racecourse_horse_race_dates.recurring_horse_race_ran_here,208
209,tv.tv_guest_personal_appearance.appearance_type,65
46,people.person.gender,3
210,location.location.containedby,103
211,government.government_position_held.basic_title,142
162,people.person.place_of_birth,8
13,religion.religious_organization.jurisdictions,212
13,business.employer.employees,213
140,type.property.reverse_property,6
186,people.person.children,1
202,type.type.expected_by,202
72,common.topic.notable_types,214
48,people.cause_of_death.people,215
216,royalty.chivalric_order_membership.order,217
218,freebase.equivalent_topic.equivalent_type,218
166,type.property.schema,78
1,symbols.heraldry_granting_body.coats_of_arms_granted,219
56,freebase.valuenotation.has_value,220
8,military.military_combatant.military_conflicts,221
4,people.person.sibling_s,222
13,base.anglican.church.dioceses,223
224,people.deceased_person.place_of_burial,26
87,people.deceased_person.place_of_burial,225
226,common.topic.notable_types,227
26,location.location.people_born_here,228
113,people.person.gender,3
17,people.family.members,1
17,people.family.country,229
230,business.employment_tenure.company,13
8,royalty.kingdom.rulers,32
231,people.sibling_relationship.sibling,49
232,government.government_position_held.jurisdiction_of_office,8
233,royalty.noble_title_tenure.noble_title,234
32,common.topic.article,235
30,time.event.included_in_event,236
237,base.popstra.friendship.participant,49
36,royalty.kingdom.rulers,238
152,people.cause_of_death.includes_causes_of_death,239
240,people.person.children,241
118,common.image.appears_in_topic_gallery,1
13,business.employer.employees,242
8,location.country.administrative_divisions,243
3,medicine.risk_factor.diseases,244
149,royalty.royal_line.monarchs_from_this_line,245
246,military.casualties.combatant,103
247,people.person.children,53
202,freebase.equivalent_topic.equivalent_type,202
247,people.person.parents,46
248,business.employment_tenure.company,13
249,people.person.parents,113
250,military.military_combatant_group.combatants,8
128,people.person.parents,52
26,location.location.people_born_here,251
252,royalty.noble_title_tenure.noble_person,49
39,royalty.chivalric_order_member.belongs_to_order,253
254,people.person.nationality,57
240,people.deceased_person.place_of_death,255
3,biology.hybrid_parent_gender.hybrids,256
13,business.employer.employees,257
33,location.country.form_of_government,175
17,people.family.members,53
13,religion.religious_organization.jurisdictions,258
54,freebase.type_hints.included_types,60
259,government.government_position_held.basic_title,142
26,common.topic.image,260
73,common.image.appears_in_topic_gallery,4
261,award.award_honor.award,96
8,military.military_combatant.military_conflicts,177
1,common.topic.notable_types,202
52,people.person.sibling_s,262
263,people.cause_of_death.parent_cause_of_death,263
264,royalty.kingdom.rulers,265
266,base.anglican.diocese.church,13
8,military.military_combatant.military_conflicts,267
191,religion.religious_practice.practice_of,47
44,people.person.place_of_birth,268
8,government.governmental_jurisdiction.governing_officials,269
270,language.human_language.countries_spoken_in,33
30,base.eventparticipants.participated_event.notable_participants,186
271,people.deceased_person.place_of_death,102
1,people.person.gender,3
272,royalty.chivalric_order_membership.recipient,44
273,organization.organization_membership.member,52
274,government.government_position_held.office_holder,52
275,people.sibling_relationship.sibling,52
190,rdf-schema#domain,191
276,people.person.place_of_birth,26
184,education.educational_institution.students_graduates,277
13,architecture.architectural_structure_owner.structures_owned,278
279,location.location.contains,26
33,location.country.official_language,280
281,people.marriage.spouse,105
8,military.military_combatant.military_conflicts,282
283,military.military_service.military_person,1
49,book.book_subject.works,284
285,government.government_position_held.appointed_by,254
8,military.military_combatant.military_conflicts,286
287,location.administrative_division.country,57
105,symbols.name_source.namesakes,71
