src,edge_attr,dst
0,book.book.genre,1
2,common.topic.notable_types,3
4,book.written_work.subjects,5
6,media_common.dedication.dedicated_by,7
8,common.topic.notable_for,9
10,location.location.contains,11
12,location.location.partially_containedby,5
13,government.politician.government_positions_held,14
15,book.written_work.subjects,16
17,government.government_position_held.jurisdiction_of_office,5
18,location.location.partially_containedby,5
19,organization.organization_scope.organizations_with_this_scope,20
21,location.country.first_level_divisions,22
5,book.book_subject.works,23
24,location.statistical_region.population,25
26,government.government_office_category.officeholders,27
28,location.place_with_neighborhoods.neighborhoods,29
30,geography.body_of_water.bridges,31
32,book.book_subject.works,33
34,organization.leadership.organization,35
36,location.location.containedby,37
38,government.government_position_held.office_holder,39
21,base.locations.countries.states_provinces_within,40
41,common.resource.annotations,42
43,location.partial_containment_relationship.partially_contained_by,44
45,location.location.partially_containedby,46
47,location.country.first_level_divisions,48
49,location.location.containedby,24
21,location.location.time_zones,50
51,base.culturalevent.event.entity_involved,52
53,government.government_position_held.jurisdiction_of_office,5
54,government.government_position_held.office_position_or_title,55
56,location.location.containedby,37
57,people.person.children,58
20,organization.organization.geographic_scope,59
60,book.written_work.original_language,61
20,organization.organization.geographic_scope,46
62,location.partial_containment_relationship.partially_contains,63
5,government.governmental_jurisdiction.governing_officials,64
40,base.locations.states_and_provences.country,21
65,business.business_operation.industry,66
67,book.written_work.subjects,5
68,government.government_position_held.office_position_or_title,55
21,location.location.time_zones,69
70,government.government_position_held.office_position_or_title,71
72,book.written_work.subjects,73
74,book.written_work.subjects,45
21,location.country.administrative_divisions,75
76,book.book.genre,1
50,time.time_zone.day_dst_ends,77
5,location.location.partiallycontains,78
79,freebase.type_profile.published,80
81,government.government_agency.jurisdiction,82
83,location.location.containedby,21
84,government.government_position_held.jurisdiction_of_office,21
85,time.event.locations,36
21,location.country.administrative_divisions,22
86,location.location.contains,87
88,government.political_district.representatives,27
89,location.statistical_region.population,90
67,book.written_work.subjects,91
92,location.location.time_zones,93
94,location.location_symbol_relationship.administrative_division,5
10,location.location.contains,95
96,government.government_office_or_title.office_holders,97
98,government.government_position_held.district_represented,5
99,location.administrative_division.first_level_division_of,21
100,people.person.gender,101
86,base.aareas.schema.administrative_area.administrative_parent,5
96,government.government_office_or_title.office_holders,102
103,people.person.gender,101
104,media_common.adaptation.adapted_from,15
105,organization.organization.sectors,106
107,location.location.contains,108
109,government.government_position_held.office_position_or_title,96
110,book.book.genre,111
96,government.government_office_or_title.office_holders,112
113,book.written_work.subjects,114
5,meteorology.cyclone_affected_area.cyclones,115
116,book.book.genre,117
28,location.place_with_neighborhoods.neighborhoods,118
10,location.place_with_neighborhoods.neighborhoods,119
65,organization.organization.geographic_scope,120
121,freebase.valuenotation.is_reviewed,122
123,location.location.containedby,5
5,military.military_unit_place_of_origin.military_units,124
125,government.government_office_or_title.category,126
45,book.book_subject.works,15
127,military.military_unit.unit_size,128
129,fictional_universe.fictional_character.gender,101
10,location.location.contains,130
131,base.biblioness.bibs_location.country,21
5,location.administrative_division.first_level_division_of,21
5,base.aareas.schema.administrative_area.administrative_children,89
132,government.government_position_held.basic_title,133
5,location.location.time_zones,134
135,common.topic.notable_types,136
137,location.location.containedby,21
138,base.biblioness.bibs_location.country,21
139,common.webpage.resource,140
141,government.government_position_held.basic_title,133
142,location.location.containedby,21
143,location.partial_containment_relationship.partially_contains,45
144,time.event.included_in_event,145
146,location.location.partially_contained_by,147
148,common.topic.notable_types,136
149,people.deceased_person.place_of_death,28
150,organization.organization_scope.organizations_with_this_scope,105
151,location.location.containedby,152
105,organization.organization.geographic_scope,153
154,location.location_symbol_relationship.symbol,155
21,location.country.administrative_divisions,156
157,location.neighborhood.neighborhood_of,10
37,base.mapcentral.fgdc_location_keyword.metadata_location_records,158
159,people.place_lived.person,57
160,book.book.genre,161
162,government.politician.government_positions_held,163
63,common.topic.article,164
165,freebase.valuenotation.is_reviewed,122
166,geography.river.mouth,30
167,freebase.valuenotation.is_reviewed,122
168,government.government_position_held.legislative_sessions,169
45,geography.body_of_water.islands,167
170,government.government_position_held.office_position_or_title,55
171,common.webpage.topic,172
173,people.person.gender,101
174,book.written_work.subjects,45
175,base.locations.states_and_provences.country,21
176,book.written_work.subjects,45
177,base.mystery.cryptid_area_of_occurrence.cryptid_s_found_here,178
28,location.place_with_neighborhoods.neighborhoods,179
177,location.location.containedby,21
180,people.deceased_person.place_of_death,181
30,geography.body_of_water.bridges,182
183,common.webpage.topic,32
184,common.topic.notable_types,136
138,location.administrative_division.country,21
160,book.book.genre,111
185,location.location.containedby,10
107,location.administrative_division.country,21
10,location.place_with_neighborhoods.neighborhoods,186
187,government.government_position_held.office_position_or_title,55
188,common.topic.notable_types,189
190,location.location.partially_containedby,5
191,meteorology.cyclone_affected_area.cyclones,115
192,people.person.place_of_birth,193
194,book.book.genre,161
195,location.partial_containment_relationship.partially_contains,146
23,media_common.adapted_work.adaptations,23
196,type.property.schema,197
198,location.location.partially_contained_by,199
200,government.government_office_or_title.office_holders,201
202,location.location.containedby,21
197,freebase.type_hints.included_types,203
28,base.biblioness.bibs_location.state,5
204,location.location.events,85
165,location.administrative_division.second_level_division_of,21
204,base.aareas.schema.administrative_area.administrative_parent,21
138,freebase.valuenotation.is_reviewed,205
57,symbols.name_source.namesakes,206
207,location.location.time_zones,134
20,organization.organization.geographic_scope,120
208,freebase.valuenotation.is_reviewed,122
20,organization.organization.geographic_scope,209
21,location.country.first_level_divisions,191
210,government.government_position_held.office_position_or_title,55
211,base.culturalevent.event.entity_involved,207
212,time.event.included_in_event,213
214,location.location.containedby,10
215,people.person.place_of_birth,216
215,people.person.nationality,21
217,common.topic.image,217
218,common.topic.notable_types,219
32,location.location.contains,220
202,organization.organization_scope.organizations_with_this_scope,20
75,freebase.valuenotation.is_reviewed,122
169,government.legislative_session.members,221
175,organization.organization_scope.organizations_with_this_scope,65
222,location.neighborhood.neighborhood_of,28
223,location.neighborhood.neighborhood_of,28
224,government.politician.government_positions_held,225
226,military.military_unit.place_of_origin,5
227,common.topic.image,228
45,geography.body_of_water.islands,229
230,book.written_work.subjects,73
5,military.military_unit_place_of_origin.military_units,231
232,location.location.containedby,152
233,type.type.properties,234
235,government.government_position_held.office_position_or_title,96
37,location.location.time_zones,69
236,government.government_position_held.jurisdiction_of_office,5
193,location.location.people_born_here,192
65,organization.organization.geographic_scope,36
20,organization.organization.geographic_scope,191
237,travel.tourist_attraction.near_travel_destination,45
238,people.person.place_of_birth,21
5,government.governmental_jurisdiction.governing_officials,239
240,time.event.locations,153
21,location.country.administrative_divisions,241
242,common.topic.notable_types,136
243,location.location.containedby,10
244,organization.organization_scope.organizations_with_this_scope,105
57,people.person.place_of_birth,245
246,government.government_position_held.governmental_body,247
248,military.military_service.military_person,215
249,government.government_position_held.office_position_or_title,96
250,book.written_work.subjects,45
251,freebase.type_hints.included_types,252
28,location.place_with_neighborhoods.neighborhoods,253
254,people.person.profession,136
192,military.military_person.participated_in_conflicts,255
256,government.government_position_held.governmental_body,257
258,people.person.nationality,21
259,people.person.profession,136
28,location.hud_county_place.county,28
260,common.topic.image,260
76,book.book.genre,261
208,location.administrative_division.first_level_division_of,21
85,time.event.next_in_series,262
263,law.court.superior_courts,264
265,location.location.contains,5
266,government.government_position_held.basic_title,133
267,book.written_work.subjects,268
269,location.neighborhood.neighborhood_of,28
270,geography.river.basin_countries,21
165,location.location.people_born_here,271
272,government.politician.government_positions_held,273
89,location.statistical_region.rent50_0,274
275,location.administrative_division_capital_relationship.capital,24
276,award.award_nomination.award_nominee,277
278,location.location.containedby,10
279,common.webpage.in_index,280
281,book.written_work.subjects,282
283,location.adjoining_relationship.adjoins,5
284,time.event.instance_of_recurring_event,285
144,base.culturalevent.event.entity_involved,286
184,people.person.nationality,21
287,location.country.official_language,61
288,common.topic.notable_types,289
28,location.administrative_division.second_level_division_of,21
290,book.written_work.original_language,61
24,location.statistical_region.population,291
2,common.topic.notable_for,292
232,symbols.namesake.named_after,293
10,location.place_with_neighborhoods.neighborhoods,294
165,location.location.containedby,295
168,government.government_position_held.office_position_or_title,55
296,freebase.type_hints.included_types,252
65,organization.organization.geographic_scope,156
297,government.government_position_held.legislative_sessions,298
65,common.topic.subject_of,299
168,government.government_position_held.jurisdiction_of_office,21
300,location.location.events,85
301,government.government_position_held.office_holder,302
241,organization.organization_scope.organizations_with_this_scope,20
303,transportation.bridge.body_of_water_spanned,30
30,geography.body_of_water.bridges,304
305,people.person.nationality,21
37,location.location.contains,306
307,common.topic.notable_types,308
309,government.government_position_held.legislative_sessions,310
21,base.locations.countries.states_provinces_within,311
312,freebase.valuenotation.is_reviewed,313
314,geography.river.cities,315
316,military.military_unit.unit_size,128
317,location.administrative_division.country,21
201,freebase.valuenotation.is_reviewed,318
319,military.military_conflict.combatants,320
321,geography.river.origin,322
323,military.military_unit.armed_force,324
15,fictional_universe.work_of_fiction.setting,32
141,government.government_position_held.office_position_or_title,96
81,location.location.containedby,83
325,base.locations.countries.continent,152
247,government.governmental_body.members,326
327,location.location.time_zones,134
212,military.military_conflict.combatants,328
329,government.government_position_held.district_represented,5
5,law.court_jurisdiction_area.courts,263
330,common.topic.notable_types,331
332,book.book.editions,332
333,book.written_work.author,334
335,book.written_work.subjects,30
336,government.politician.government_positions_held,337
338,boats.ship.ship_class,339
340,location.location.containedby,21
21,base.biblioness.bibs_topic.is_really,21
45,book.book_subject.works,176
57,people.person.children,341
24,location.location.contains,342
63,geography.body_of_water.bridges,343
294,location.location.containedby,28
344,location.neighborhood.neighborhood_of,10
319,time.event.included_in_event,145
5,location.statistical_region.minimum_wage,345
28,location.place_with_neighborhoods.neighborhoods,346
347,finance.currency.countries_used,348
116,book.written_work.author,349
21,location.location.primarily_containedby,152
350,location.partial_containment_relationship.partially_contains,190
351,base.culturalevent.event.entity_involved,207
352,location.location.containedby,28
353,freebase.type_profile.published,80
354,location.hud_county_place.county,355
356,freebase.valuenotation.is_reviewed,205
357,government.government_agency.jurisdiction,5
45,geography.river.origin_long_lat,358
359,location.neighborhood.neighborhood_of,10
30,location.location.partially_contained_by,360
361,government.governmental_jurisdiction.agencies,81
362,book.book.editions,362
98,government.government_position_held.basic_title,363
364,people.deceased_person.place_of_burial,365
366,book.author.book_editions_published,332
367,common.topic.notable_for,368
369,common.topic.notable_types,289
