src,edge_attr,dst
0,base.usnris.nris_listing.significance_level,1
2,common.webpage.in_index,3
4,film.film.country,5
6,location.location.contains,6
7,common.topic.notable_types,8
9,media_common.netflix_title.netflix_genres,10
11,base.usnris.nris_listing.significance_level,1
12,location.statistical_region.population,13
14,location.neighborhood.neighborhood_of,12
15,common.topic.webpage,16
17,travel.travel_destination.how_to_get_here,18
19,common.topic.notable_for,20
21,book.book_subject.works,22
23,common.webpage.in_index,3
24,award.competitor.competitions_won,25
21,visual_art.art_subject.artwork_on_the_subject,26
27,common.webpage.in_index,3
28,sports.sports_team.location,21
29,travel.travel_destination_monthly_climate.travel_destination,21
30,location.neighborhood.neighborhood_of,31
32,location.location.containedby,33
34,time.event.included_in_event,35
36,location.neighborhood.neighborhood_of,31
37,time.event.locations,12
38,location.location.time_zones,19
39,location.location.containedby,40
41,measurement_unit.dated_integer.source,42
43,measurement_unit.dated_money_value.currency,44
12,location.place_with_neighborhoods.neighborhoods,45
46,common.topic.webpage,47
21,location.statistical_region.population,48
49,base.descriptive_names.names.descriptive_name,50
49,base.descriptive_names.names.descriptive_name,51
52,location.location.containedby,33
46,book.newspaper.circulation_areas,53
54,book.newspaper.headquarters,55
56,base.disneyana.disney_product_theme.disney_products_based_on_this_theme,57
21,periodicals.newspaper_circulation_area.newspapers,58
21,travel.travel_destination.tourist_attractions,59
30,location.location.geolocation,60
21,base.biblioness.bibs_topic.subsumes,21
61,location.location.geolocation,62
52,common.topic.article,63
64,time.event.locations,65
21,book.book_subject.works,66
67,music.composition.language,68
69,location.mailing_address.country,5
70,location.location.containedby,31
71,common.webpage.topic,15
72,common.webpage.topic,15
73,measurement_unit.dated_integer.source,74
75,book.book_subject.works,76
77,location.location.geolocation,78
79,common.webpage.topic,15
80,location.location.containedby,12
81,fictional_universe.fictional_object.featured_in_fictional_universe,82
21,book.book_subject.works,83
84,periodicals.newspaper_circulation_area.newspapers,85
86,common.webpage.topic,46
87,location.adjoining_relationship.adjoins,21
88,common.topic.notable_types,89
21,media_common.quotation_subject.quotations_about_this_subject,90
49,base.descriptive_names.names.descriptive_name,91
92,aviation.airport.serves,93
21,location.statistical_region.population,94
95,common.webpage.resource,96
97,common.topic.article,98
99,travel.transportation.transport_terminus,100
21,periodicals.newspaper_circulation_area.newspapers,101
102,measurement_unit.dated_integer.source,42
103,travel.tourist_attraction.near_travel_destination,12
21,location.statistical_region.population,104
105,measurement_unit.dated_integer.source,42
21,location.statistical_region.population,106
21,travel.travel_destination.tourist_attractions,107
53,periodicals.newspaper_circulation_area.newspapers,54
30,location.neighborhood.neighborhood_of,12
21,location.location.nearby_airports,108
21,tv.tv_location.tv_shows_filmed_here,4
15,common.topic.webpage,109
110,book.newspaper.circulation_areas,33
49,base.descriptive_names.names.descriptive_name,111
112,measurement_unit.dated_integer.source,42
113,people.person.place_of_birth,114
115,common.webpage.in_index,3
12,location.location.containedby,33
116,travel.travel_destination.how_to_get_here,117
118,location.administrative_division.second_level_division_of,5
12,location.statistical_region.population,119
21,film.film_subject.films,120
121,book.newspaper.circulation_areas,21
21,location.statistical_region.population,122
21,book.book_subject.works,123
124,location.neighborhood.neighborhood_of,21
125,common.topic.notable_types,126
127,common.webpage.topic,46
128,measurement_unit.dated_integer.source,42
39,common.topic.notable_for,129
130,travel.tourist_attraction.near_travel_destination,21
21,periodicals.newspaper_circulation_area.newspapers,131
132,base.webvideo.internet_video_series.genre,21
12,location.statistical_region.population,133
134,location.location.containedby,33
135,book.newspaper.circulation_areas,21
114,location.neighborhood.neighborhood_of,12
