src,edge_attr,dst
0,people.deceased_person.cause_of_death,1
2,common.topic.notable_for,3
4,book.author.works_written,5
6,fictional_universe.ethnicity_in_fiction.characters_of_this_ethnicity,7
6,fictional_universe.ethnicity_in_fiction.characters_of_this_ethnicity,8
9,book.illustrator.book_editions_illustrated,10
11,people.profession.specialization_of,12
13,book.written_work.school_or_movement,14
15,book.book.editions,15
6,fictional_universe.ethnicity_in_fiction.characters_of_this_ethnicity,16
17,book.book.editions,18
19,book.book.genre,20
21,book.book_edition.author_editor,4
22,base.aareas.schema.administrative_area.administrative_parent,23
24,medicine.disease.risk_factors,25
26,common.topic.notable_for,27
28,common.topic.notable_for,29
30,book.book.editions,31
32,award.award.ceremony,33
4,book.author.works_written,10
34,common.topic.notable_types,35
36,common.image.appears_in_topic_gallery,4
37,tv.tv_subject.tv_episodes,38
39,book.book_edition.author_editor,4
40,common.topic.notable_types,35
41,people.profession.specialization_of,12
42,freebase.valuenotation.is_reviewed,43
44,book.written_work.subjects,45
46,book.book_edition.author_editor,4
47,book.book.editions,48
49,film.film.story_by,4
50,common.topic.notable_types,51
52,people.profession.specialization_of,12
53,location.statistical_region.population,54
55,book.book_edition.book,56
57,book.written_work.subjects,58
59,freebase.valuenotation.is_reviewed,60
61,book.book.genre,62
63,location.location.containedby,23
64,film.film_cut.film,21
65,fictional_universe.fictional_character.ethnicity,6
23,location.country.administrative_divisions,66
67,book.book_edition.author_editor,4
19,award.award_nominated_work.award_nominations,68
69,education.school.school_district,70
71,book.book_edition.author_editor,4
72,time.event.instance_of_recurring_event,33
4,book.author.works_written,73
25,biology.hybrid_parent_gender.hybrids,74
75,book.book.genre,76
2,book.book.editions,2
44,book.book.editions,44
77,people.person.profession,12
78,common.topic.notable_for,79
80,book.book_edition.book,81
82,common.topic.notable_types,83
84,book.book_edition.author_editor,4
37,people.profession.specialization_of,12
85,book.book.editions,86
23,base.biblioness.bibs_topic.subsumes,23
87,freebase.valuenotation.is_reviewed,88
68,freebase.valuenotation.is_reviewed,43
89,book.book.genre,76
90,award.award_ceremony.nominees,91
92,book.book_edition.book,93
75,book.book.editions,94
95,award.award_category.winners,96
97,film.performance.film,49
37,type.type.expected_by,37
10,book.book_edition.author_editor,4
25,biology.hybrid_parent_gender.hybrids,98
99,book.written_work.subjects,45
100,fictional_universe.fictional_character.ethnicity,6
101,medicine.disease.risk_factors,25
6,people.ethnicity.languages_spoken,102
37,fictional_universe.character_occupation.characters_with_this_occupation,103
104,people.profession.specialization_of,12
105,people.person.parents,106
10,book.book.genre,20
107,book.written_work.author,4
108,location.location.containedby,23
22,location.administrative_division.first_level_division_of,23
12,people.profession.specializations,109
110,book.book_edition.author_editor,4
111,common.topic.notable_types,35
4,book.author.works_written,112
113,medicine.symptom.symptom_of,114
22,location.location.time_zones,115
63,location.location.people_born_here,116
117,freebase.valuenotation.is_reviewed,43
32,freebase.valuenotation.is_reviewed,60
37,common.topic.subject_of,118
119,people.person.place_of_birth,23
120,book.book.editions,121
122,book.book_edition.author_editor,4
21,book.book_edition.book,21
123,common.topic.notable_for,124
105,people.deceased_person.place_of_death,125
126,people.person.profession,127
128,freebase.valuenotation.is_reviewed,88
73,book.book.editions,73
37,fictional_universe.character_occupation.characters_with_this_occupation,129
130,book.book_edition.book,131
132,common.topic.article,133
134,people.person.nationality,23
135,book.written_work.author,4
4,book.author.works_written,136
21,film.film.runtime,64
37,base.descriptive_names.names.descriptive_name,137
138,common.topic.notable_types,35
12,people.profession.specializations,139
87,freebase.valuenotation.is_reviewed,140
13,book.written_work.subjects,37
141,freebase.valuenotation.has_no_value,142
143,freebase.valuenotation.is_reviewed,43
144,book.book_edition.author_editor,4
1,people.cause_of_death.people,145
12,people.profession.specializations,146
10,book.book.editions,10
83,freebase.type_profile.strict_included_types,147
148,media_common.quotation_subject.quotations_about_this_subject,149
150,location.location.people_born_here,151
152,book.book_edition.book,153
55,book.book_edition.author_editor,4
154,comic_strips.comic_strip_creator_duration.creator_role,12
95,award.award_category.nominees,155
21,film.film.starring,156
157,media_common.quotation_subject.quotations_about_this_subject,158
95,freebase.valuenotation.is_reviewed,159
21,book.book_edition.book,21
160,freebase.valuenotation.is_reviewed,43
161,people.person.gender,162
163,media_common.media_genre.parent_genre,62
25,medicine.risk_factor.diseases,164
21,book.literary_series.works_in_this_series,21
165,book.book_edition.book,17
12,people.profession.specializations,166
167,fictional_universe.fictional_character.ethnicity,6
93,common.topic.notable_types,35
37,type.type.expected_by,168
49,film.film.film_set_decoration_by,169
170,book.book_edition.book,47
105,people.person.nationality,23
110,book.written_work.previous_in_series,93
171,book.book_edition.author_editor,4
37,type.type.expected_by,172
132,book.book.editions,132
173,book.book_edition.author_editor,4
174,people.ethnicity.languages_spoken,175
47,book.written_work.subjects,45
101,medicine.disease.includes_diseases,176
125,fictional_universe.fictional_setting.works_set_here,110
47,book.book.editions,170
177,people.profession.corresponding_type,37
2,book.written_work.author,4
53,location.hud_foreclosure_area.bls_unemployment_rate,178
179,common.topic.notable_types,180
181,freebase.valuenotation.is_reviewed,60
182,award.award_achievement_level.award,32
37,type.type.expected_by,37
23,location.country.administrative_divisions,183
164,medicine.disease_cause.diseases,184
6,fictional_universe.ethnicity_in_fiction.characters_of_this_ethnicity,185
186,common.topic.notable_for,187
188,people.person.gender,162
189,freebase.valuenotation.is_reviewed,190
191,book.book.genre,76
85,book.written_work.subjects,23
192,book.written_work.author,4
44,common.topic.image,193
194,common.topic.notable_types,83
131,book.book_edition.book,131
21,common.topic.image,195
120,book.book.genre,62
18,book.book_edition.author_editor,4
196,book.book_edition.book,110
197,book.book_edition.author_editor,4
153,book.book.editions,152
19,book.book.editions,198
67,book.book.editions,67
199,book.written_work.previous_in_series,132
200,book.book.editions,200
201,common.topic.notable_types,180
202,people.sibling_relationship.sibling,4
203,architecture.structure.architectural_style,204
205,book.book.editions,206
37,fictional_universe.character_occupation.characters_with_this_occupation,207
9,book.illustrator.books_illustrated,110
10,book.book.editions,208
209,common.topic.notable_types,35
19,book.written_work.previous_in_series,44
210,book.book.editions,211
89,book.book.editions,212
213,book.book_edition.book,30
12,comic_strips.comic_strip_creator_role.creators,214
37,book.book_subject.works,13
84,book.book_edition.author_editor,4
215,book.book_edition.book,99
96,freebase.valuenotation.is_reviewed,60
53,location.statistical_region.population,216
25,base.gender.gender_identity.people,217
218,base.wikipedia_infobox.settlement.area_code,219
131,book.book_edition.book,131
220,people.person.gender,162
32,freebase.valuenotation.is_reviewed,221
222,common.topic.notable_types,51
223,freebase.valuenotation.has_value,224
2,common.topic.notable_types,35
22,base.locations.states_and_provences.country,23
225,book.book_edition.book,19
226,award.award_discipline.awards_in_this_discipline,95
21,book.book_edition.book,21
