src,edge_attr,dst
0,base.gender.personal_gender_identity.gender_identity,1
2,government.government_position_held.jurisdiction_of_office,3
3,sports.sports_team_location.teams,4
5,common.topic.webpage,6
7,location.location.containedby,3
8,people.person.children,9
10,location.country.first_level_divisions,11
12,base.argumentmaps.expression_of_disvalue.thing_of_disputed_value,13
3,base.popstra.location.vacationers,14
15,people.person.gender,1
13,religion.religion.holidays,16
10,base.locations.countries.states_provinces_within,17
18,medicine.disease.treatments,19
20,base.aareas.schema.administrative_area.administrative_parent,10
21,people.person.religion,22
3,base.petbreeds.city_with_dogs.top_breeds,23
24,fictional_universe.fictional_character.place_of_birth,3
5,medicine.disease.parent_disease,25
26,base.popstra.arrest.location,3
27,medicine.disease.parent_disease,28
29,tv.tv_regular_personal_appearance.seasons,30
31,common.topic.notable_types,32
33,location.location.time_zones,34
35,medicine.disease.notable_people_with_this_condition,36
10,location.location.time_zones,34
37,religion.religious_organization.is_member_of,38
13,base.argumentmaps.thing_of_disputed_value.disparagement,39
40,medicine.risk_factor.diseases,41
42,religion.religious_organization.associated_with,13
1,medicine.risk_factor.diseases,43
44,fictional_universe.fictional_character.gender,1
17,base.locations.states_and_provences.country,10
45,people.sibling_relationship.sibling,46
47,base.petbreeds.dog_city_relationship.cities,3
3,periodicals.newspaper_circulation_area.newspapers,48
49,common.topic.subjects,50
51,book.periodical.subjects,13
10,base.aareas.schema.administrative_area.administrative_children,52
53,medicine.disease.risk_factors,54
55,location.location.containedby,56
10,location.country.administrative_divisions,57
13,religion.religion.holidays,58
1,medicine.risk_factor.diseases,59
60,location.location.containedby,61
62,sports.sports_team.location,3
10,location.country.first_level_divisions,63
10,location.country.administrative_divisions,11
64,book.book_subject.works,65
63,location.administrative_division.first_level_division_of,10
1,medicine.risk_factor.diseases,66
13,religion.religion.beliefs,67
68,medicine.disease.parent_disease,69
1,medicine.risk_factor.diseases,70
5,medicine.disease.medical_specialties,71
3,base.petbreeds.city_with_dogs.top_breeds,72
73,common.webpage.topic,50
74,location.location.containedby,61
75,book.periodical.language,76
77,fictional_universe.fictional_character.place_of_birth,3
78,location.administrative_division.first_level_division_of,10
3,travel.travel_destination.local_transportation,79
80,book.newspaper.circulation_areas,3
3,sports.sports_team_location.teams,81
82,award.award_winner.awards_won,83
53,medicine.disease.parent_disease,84
3,government.governmental_jurisdiction.government_positions,85
86,base.popstra.religion_choice.religion,13
87,people.person.profession,88
3,travel.travel_destination.climate,89
90,base.popstra.religion_choice.member,91
10,base.biblioness.bibs_topic.subsumes,10
3,business.business_location.parent_company,92
10,base.aareas.schema.administrative_area.administrative_children,93
50,fictional_universe.character_occupation.characters_with_this_occupation,94
50,common.topic.webpage,95
96,time.holiday.featured_in_religions,13
97,common.webpage.topic,40
98,tv.tv_series_season.regular_personal_appearances,99
100,base.aareas.schema.administrative_area.administrative_children,10
13,base.argumentmaps.thing_of_disputed_value.disparagement,101
102,book.periodical.language,76
40,common.topic.webpage,103
104,book.periodical.subjects,13
105,base.biblioness.bibs_location.country,10
3,travel.travel_destination.tourist_attractions,106
107,medicine.disease.risk_factors,1
82,people.person.gender,108
3,location.statistical_region.population,109
110,book.newspaper.circulation_areas,3
111,base.aareas.schema.administrative_area.administrative_parent,10
20,location.administrative_division.first_level_division_of,10
112,base.popstra.religion_choice.religion,13
113,book.written_work.subjects,3
114,base.biblioness.bibs_location.country,10
