src,edge_attr,dst
0,base.popstra.paid_support.company,1
2,music.artist.album,3
4,common.topic.notable_types,5
1,organization.organization.child,6
7,base.wikipedia_infobox.video_game.platforms,8
9,cvg.computer_videogame.designers,4
10,fictional_universe.fictional_universe.works_set_here,11
12,award.award_nomination.nominated_for,13
14,organization.organization_relationship.parent,1
15,cvg.game_series.games_in_series,16
1,award.award_nominee.award_nominations,17
18,award.award_nomination.award_nominee,1
11,base.wikipedia_infobox.video_game.platforms,19
20,award.ranking.item,11
21,cvg.video_game_soundtrack.video_game,22
1,award.award_nominee.award_nominations,23
24,freebase.type_profile.strict_included_types,25
26,type.type.expected_by,27
28,freebase.type_profile.strict_included_types,29
11,cvg.computer_videogame.gameplay_modes,30
31,fictional_universe.fictional_character.character_created_by,4
32,award.ranked_item.appears_in_ranked_lists,33
1,award.award_nominee.award_nominations,34
1,award.award_nominee.award_nominations,35
26,type.type.expected_by,36
4,fictional_universe.fictional_character_creator.fictional_characters_created,37
4,fictional_universe.fictional_character_creator.fictional_characters_created,38
26,type.type.properties,39
7,book.book_subject.works,40
41,fictional_universe.work_of_fiction.part_of_these_fictional_universes,42
43,award.award_nomination.nominated_for,44
45,business.company_brand_relationship.company,1
46,business.company_product_relationship.company,1
47,cvg.computer_videogame.gameplay_modes,48
2,common.topic.article,49
50,award.award_nomination.award_nominee,1
51,business.employment_tenure.company,1
1,common.topic.webpage,52
2,broadcast.artist.content,53
2,music.artist.album,54
10,fictional_universe.fictional_universe.works_set_here,13
55,type.type.domain,56
57,games.game_genre.boardgames,58
59,award.award_honor.honored_for,60
1,award.award_nominee.award_nominations,61
62,award.award_nominee.award_nominations,61
4,fictional_universe.fictional_character_creator.fictional_characters_created,63
64,award.award_nomination.award_nominee,1
1,award.award_nominee.award_nominations,18
4,fictional_universe.fictional_character_creator.fictional_characters_created,65
62,award.award_nominee.award_nominations,66
17,award.award_nomination.award_nominee,62
67,award.award_nomination.award_nominee,1
7,cvg.computer_videogame.developer,62
1,organization.organization.child,68
69,award.award_nomination.award_nominee,1
10,fictional_universe.fictional_universe.species,70
41,cvg.computer_videogame.designers,4
71,freebase.type_profile.kind,72
2,music.artist.album,73
15,cvg.game_series.games_in_series,74
26,type.type.properties,75
76,cvg.video_game_soundtrack.video_game,22
77,award.award_honor.award_winner,62
11,base.wikipedia_infobox.video_game.platforms,78
79,common.topic.notable_types,80
81,cvg.cvg_platform.games,11
15,cvg.game_series.games_in_series,60
82,education.education.student,2
4,fictional_universe.fictional_character_creator.fictional_characters_created,83
1,business.consumer_company.brands,84
83,fictional_universe.fictional_character.appears_in_these_fictional_universes,85
1,common.topic.webpage,86
87,freebase.type_profile.published,88
89,award.award_nomination.nominated_for,90
31,fictional_universe.fictional_character.places_lived,91
92,type.property.reverse_property,93
94,business.company_product_relationship.company,1
4,people.person.parents,95
1,award.award_nominee.award_nominations,96
11,media_common.adapted_work.adaptations,11
97,award.award_nomination.award_nominee,4
90,cvg.computer_videogame.designers,4
15,cvg.game_series.games_in_series,98
99,cvg.game_performance.game,22
1,cvg.cvg_designer.games_designed,44
1,common.topic.webpage,100
101,award.ranking.item,32
15,cvg.game_series.games_in_series,102
94,business.company_product_relationship.consumer_product,103
104,award.award_nomination.award_nominee,1
10,fictional_universe.fictional_universe.works_set_here,105
1,internet.website_owner.websites_owned_new,106
15,cvg.game_series.games_in_series,107
108,award.award_nomination.nominated_for,109
1,computer.computer_manufacturer_brand.computer_models,8
11,fictional_universe.work_of_fiction.part_of_these_fictional_universes,10
10,fictional_universe.fictional_universe.works_set_here,110
1,award.award_nominee.award_nominations,111
10,fictional_universe.fictional_universe.characters,112
111,award.award_nomination.award_nominee,62
113,award.award_nomination.award_nominee,1
11,award.ranked_item.appears_in_ranked_lists,20
4,common.topic.webpage,114
115,award.award_nomination.award_nominee,62
11,cvg.computer_videogame.versions,11
1,sports.sports_team_owner.teams_owned,116
117,computer.computer.processor,118
1,organization.organization.founders,119
81,cvg.cvg_platform.games,120
121,award.award_nomination.nominated_for,16
10,fictional_universe.fictional_universe.species,122
123,common.webpage.topic,117
4,computer.computer_designer.computers_designed,124
125,cvg.computer_videogame.developer,62
34,award.award_nomination.award_nominee,62
1,business.employer.number_of_employees,126
125,cvg.computer_videogame.designers,127
26,type.type.properties,128
11,award.ranked_item.appears_in_ranked_lists,129
103,computer.computer.parent_model,130
21,cvg.video_game_soundtrack.video_game,131
114,common.webpage.topic,4
1,award.award_nominee.award_nominations,132
26,type.type.properties,133
76,cvg.video_game_soundtrack.video_game,7
41,base.wikipedia_infobox.video_game.developer,62
40,book.published_work.published_in_published_as,134
84,business.company_brand_relationship.company,1
7,cvg.computer_videogame.characters,135
10,fictional_universe.fictional_universe.characters,136
30,cvg.computer_game_mod.game_modded,137
32,award.award_winning_work.awards_won,138
2,music.artist.album,21
139,award.award_nomination.award_nominee,1
1,business.employer.employees,140
11,cvg.computer_videogame.characters,141
1,exhibitions.exhibition_sponsor.exhibitions_sponsored,142
2,music.artist.album,143
144,award.award_nomination.award_nominee,1
145,cvg.game_performance.game,7
146,award.award_honor.award_winner,1
26,common.topic.subjects,147
148,award.ranking.item,22
26,type.type.expected_by,149
1,award.award_nominee.award_nominations,66
55,type.type.expected_by,150
151,award.ranking.item,22
62,award.award_winner.awards_won,152
153,common.webpage.in_index,154
2,music.artist.track_contributions,155
10,fictional_universe.fictional_universe.characters,102
23,award.award_nomination.nominated_for,60
4,people.person.nationality,156
157,common.webpage.topic,1
158,organization.leadership.organization,1
10,fictional_universe.fictional_universe.works_set_here,159
1,fictional_universe.fictional_universe_creator.fictional_universes_created,42
10,fictional_universe.fictional_universe.works_set_here,160
161,award.award_nomination.nominated_for,32
162,cvg.game_performance.game,7
30,cvg.computer_game_mod.game_modded,163
2,music.artist.album,90
62,organization.organization.place_founded,164
165,award.award_nomination.award_nominee,127
2,music.artist.album,166
4,people.person.place_of_birth,167
1,award.award_nominee.award_nominations,168
1,exhibitions.exhibition_sponsor.exhibitions_sponsored,169
86,common.webpage.topic,1
147,computer.software.software_genre,57
10,fictional_universe.fictional_universe.characters,170
1,award.award_winner.awards_won,171
125,base.wikipedia_infobox.video_game.platforms,103
54,cvg.computer_videogame.platforms,172
11,cvg.computer_videogame.soundtracks,131
1,award.award_nominee.award_nominations,173
57,common.topic.subjects,174
71,freebase.type_profile.published,88
4,fictional_universe.fictional_character_creator.fictional_characters_created,175
176,award.award_nomination.nominated_for,16
62,award.award_nominee.award_nominations,177
178,business.company_product_relationship.company,1
125,cvg.computer_videogame.publisher,1
10,fictional_universe.fictional_universe.characters,179
171,award.award_honor.award_winner,1
180,base.wikipedia_infobox.video_game.platforms,117
62,award.award_winner.awards_won,181
182,common.webpage.topic,57
10,fictional_universe.fictional_universe.works_set_here,183
2,common.topic.notable_types,184
2,base.schemastaging.context_name.pronunciation,185
1,common.topic.webpage,186
81,computer.computer.emulators,187
54,cvg.computer_videogame.gameplay_modes,30
188,base.breakfast.breakfast_cereal_brand.theme,11
62,award.award_nominee.award_nominations,189
2,music.artist.album,32
28,type.type.expected_by,190
121,award.award_nomination.award_nominee,1
32,cvg.computer_videogame.versions,32
191,common.webpage.topic,1
1,business.issuer.issue,192
62,award.award_nominee.award_nominations,193
125,base.wikipedia_infobox.video_game.platforms,130
194,award.award_nomination.award_nominee,1
195,cvg.game_performance.game,22
1,computer.software_developer.software,196
10,common.topic.notable_for,197
198,base.ontologies.ontology_instance_mapping.freebase_topic,81
199,award.award_nomination.award_nominee,1
99,cvg.game_performance.character,200
62,organization.organization.headquarters,201
1,book.periodical_publisher.periodicals_published,202
