src,edge_attr,dst
0,location.statistical_region.population,1
2,freebase.type_hints.included_types,3
2,base.descriptive_names.names.descriptive_name,4
5,education.educational_institution.colors,6
7,education.educational_institution.school_type,8
9,location.administrative_division.second_level_division_of,10
11,education.educational_institution.campuses,11
12,education.university.international_tuition,13
14,location.location.containedby,10
15,base.marchmadness.ncaa_tournament_seed.team,16
17,education.educational_institution.campuses,17
18,award.award_honor.award_winner,19
8,education.school_category.schools_of_this_kind,20
21,government.government_agency.jurisdiction,22
23,freebase.type_hints.included_types,24
25,freebase.valuenotation.has_value,26
27,freebase.type_profile.published,28
2,freebase.type_hints.included_types,27
29,education.athletics_brand.teams,30
31,education.educational_institution_campus.educational_institution,31
0,location.location.contains,32
10,base.biblioness.bibs_topic.subsumes,10
33,education.educational_institution.campuses,33
8,education.school_category.schools_of_this_kind,34
35,metropolitan_transit.transit_stop.transit_lines,36
37,people.person.nationality,10
0,location.statistical_region.population,38
39,freebase.valuenotation.has_value,26
0,location.statistical_region.population,40
12,business.employer.employees,41
42,education.educational_institution.school_type,8
0,location.location.people_born_here,43
44,freebase.type_profile.strict_included_types,24
5,education.educational_institution.school_type,45
46,base.marchmadness.ncaa_basketball_tournament_game.winning_team,16
47,business.employment_tenure.person,48
8,education.school_category.schools_of_this_kind,33
0,location.location.contains,49
50,location.location.containedby,10
22,base.biblioness.bibs_location.country,10
8,education.school_category.schools_of_this_kind,51
52,business.employment_tenure.company,12
2,base.descriptive_names.names.descriptive_name,53
54,people.person.nationality,10
55,base.locations.states_and_provences.country,10
56,education.educational_institution_campus.educational_institution,56
16,base.marchmadness.ncaa_basketball_team.tournament_games_won,57
2,type.type.properties,58
59,education.educational_institution.campuses,59
0,location.statistical_region.population,60
0,common.topic.notable_for,61
62,education.educational_institution.campuses,62
63,location.location.containedby,10
64,education.educational_institution.colors,6
65,education.educational_institution_campus.educational_institution,65
0,location.statistical_region.population,66
49,location.location.containedby,22
8,education.school_category.schools_of_this_kind,64
16,base.marchmadness.ncaa_basketball_team.tournament_games_won,67
0,location.location.contains,68
69,common.topic.notable_types,2
10,location.country.first_level_divisions,22
19,sports.sports_team.venue,70
35,location.location.containedby,71
72,location.location.containedby,10
25,location.location.containedby,10
73,education.educational_institution.school_type,8
74,education.educational_institution.school_type,8
12,organization.organization.board_members,75
76,education.educational_institution.school_type,8
77,organization.organization.sectors,78
79,education.educational_institution.school_type,8
16,sports.sports_team.roster,80
81,people.person.nationality,10
82,education.university.fraternities_and_sororities,83
84,common.topic.notable_types,2
85,education.educational_institution.campuses,85
22,base.aareas.schema.administrative_area.capital,86
8,education.school_category.schools_of_this_kind,87
8,common.topic.article,88
14,education.educational_institution.school_type,8
89,education.educational_institution.school_type,8
41,business.employment_tenure.person,90
0,location.statistical_region.population,91
92,education.educational_institution.school_type,8
5,education.educational_institution_campus.educational_institution,5
93,common.topic.notable_types,2
94,people.person.employment_history,95
96,people.person.nationality,10
97,education.educational_institution.school_type,8
72,freebase.valuenotation.has_value,26
98,common.topic.notable_types,2
73,education.educational_institution.campuses,73
2,base.descriptive_names.names.descriptive_name,99
10,base.biblioness.bibs_topic.is_really,10
8,education.school_category.schools_of_this_kind,100
19,award.award_winner.awards_won,18
12,education.university.domestic_tuition,101
62,education.educational_institution.school_type,8
102,education.educational_institution.campuses,102
103,education.educational_institution.colors,104
105,education.school_newspaper.school,12
106,education.educational_institution.school_type,8
107,education.educational_institution.school_type,8
108,education.educational_institution.school_type,8
109,education.university.fraternities_and_sororities,83
5,education.university.fraternities_and_sororities,83
110,education.educational_institution_campus.educational_institution,110
31,freebase.valuenotation.has_value,26
111,common.webpage.topic,77
73,education.educational_institution.school_type,45
8,education.school_category.schools_of_this_kind,112
113,common.webpage.category,114
16,common.topic.notable_for,115
116,education.university.fraternities_and_sororities,83
117,education.educational_institution.campuses,117
118,location.location.containedby,10
96,people.person.employment_history,119
117,education.educational_institution_campus.educational_institution,117
109,education.educational_institution.school_type,8
16,base.marchmadness.ncaa_basketball_team.tournament_games_lost,120
121,business.employment_tenure.person,122
123,education.educational_institution_campus.educational_institution,123
12,location.location.containedby,124
10,base.aareas.schema.administrative_area.administrative_children,22
2,base.descriptive_names.names.descriptive_name,125
126,film.personal_film_appearance.person,19
127,base.marchmadness.ncaa_basketball_tournament_game.losing_team,16
0,location.hud_foreclosure_area.bls_unemployment_rate,128
