src,edge_attr,dst
0,fictional_universe.fictional_language.where_spoken,1
0,media_common.netflix_genre.titles,2
3,time.event.included_in_event,4
5,location.country.form_of_government,6
7,book.author.book_editions_published,8
9,film.film.country,10
11,freebase.type_profile.kind,12
13,military.military_conflict.combatants,14
15,common.topic.notable_types,16
5,location.location.events,17
18,location.location.events,17
3,base.culturalevent.event.entity_involved,5
19,book.written_work.subjects,20
21,language.human_language.countries_spoken_in,22
23,book.author.book_editions_published,19
24,base.culturalevent.event.entity_involved,25
0,base.rosetta.languoid.local_name,26
24,base.culturalevent.event.entity_involved,27
28,film.film.language,29
30,base.culturalevent.event.entity_involved,31
13,time.event.includes_event,32
33,base.culturalevent.event.entity_involved,34
21,music.genre.albums,35
0,base.rosetta.languoid.local_name,26
36,base.descriptive_names.names.descriptive_name,37
38,people.person.gender,39
10,media_common.netflix_genre.titles,2
40,freebase.type_hints.included_types,41
42,base.culturalevent.event.entity_involved,43
13,base.culturalevent.event.entity_involved,44
45,government.form_of_government.countries,46
47,base.culturalevent.event.entity_involved,48
49,common.topic.notable_types,16
50,common.topic.notable_types,51
52,book.author.works_written,53
26,base.rosetta.local_name.languoid,0
13,time.event.includes_event,54
55,location.country.languages_spoken,0
47,base.culturalevent.event.entity_involved,56
57,common.topic.notable_types,58
59,people.person.spouse_s,60
61,royalty.kingdom.rulers,62
16,type.type.properties,63
64,common.topic.notable_types,51
13,time.event.includes_event,65
66,base.locations.continents.countries_within,67
21,music.genre.artists,68
69,location.location.containedby,70
61,royalty.kingdom.rulers,71
72,book.book.editions,72
21,music.genre.albums,73
74,people.person.religion,75
19,book.written_work.subjects,5
16,common.topic.article,76
3,base.culturalevent.event.entity_involved,77
78,people.deceased_person.place_of_death,79
80,education.education.major_field_of_study,21
81,religion.religion.includes,82
6,common.topic.notable_for,83
21,music.genre.albums,84
85,location.country.official_language,0
86,common.topic.notable_types,51
0,language.human_language.language_family,87
88,location.location.containedby,89
90,book.written_work.original_language,29
85,location.country.languages_spoken,29
91,location.location.partially_contained_by,92
93,book.author.works_written,94
95,time.event.locations,89
54,common.topic.notable_types,51
96,freebase.type_profile.strict_included_types,41
36,base.descriptive_names.names.descriptive_name,97
98,common.topic.notable_types,99
100,common.topic.notable_types,99
101,base.culturalevent.event.entity_involved,102
103,military.military_command.military_conflict,104
105,time.event.locations,106
107,freebase.type_profile.published,108
109,base.culturalevent.event.entity_involved,5
110,people.person.gender,39
13,base.culturalevent.event.entity_involved,111
45,government.form_of_government.countries,5
112,location.country.form_of_government,45
113,music.artist.genre,21
0,base.rosetta.languoid.local_name,26
13,common.topic.notable_types,51
46,common.topic.notable_types,16
7,book.author.book_editions_published,114
115,book.written_work.subjects,116
117,freebase.valuenotation.is_reviewed,118
119,base.culturalevent.event.entity_involved,120
8,book.book.editions,8
13,base.culturalevent.event.entity_involved,121
26,base.rosetta.local_name.languoid,0
8,book.written_work.subjects,122
123,film.film.country,10
60,people.marriage.spouse,59
21,music.genre.albums,124
125,time.event.locations,10
126,location.location.events,127
128,common.topic.notable_types,16
129,base.culturalevent.event.entity_involved,130
131,freebase.type_profile.strict_included_types,41
132,base.biblioness.bibs_location.city,133
134,people.marriage.spouse,31
135,base.culturalevent.event.entity_involved,136
8,book.book.editions,137
138,location.country.form_of_government,45
6,government.form_of_government.countries,5
139,time.event.included_in_event,13
8,book.written_work.subjects,140
3,base.culturalevent.event.entity_involved,141
142,base.culturalevent.event.entity_involved,25
123,media_common.netflix_title.netflix_genres,0
112,location.location.containedby,89
143,military.military_combatant_group.combatants,5
144,common.topic.notable_types,51
8,book.written_work.subjects,145
70,location.location.events,146
70,book.book_subject.works,147
148,book.written_work.subjects,149
150,rdf-schema#domain,16
70,common.topic.image,151
152,location.administrative_division.country,67
16,base.descriptive_names.names.descriptive_name,153
154,location.country.form_of_government,45
155,people.person.parents,156
36,book.book_subject.works,157
158,book.written_work.subjects,10
159,common.image.appears_in_topic_gallery,5
3,time.event.included_in_event,160
161,film.film.country,10
0,media_common.netflix_genre.titles,162
163,base.culturalevent.event.entity_involved,164
3,base.culturalevent.event.entity_involved,5
160,time.event.includes_event,3
158,common.topic.notable_types,99
165,film.film.language,0
166,media_common.netflix_title.netflix_genres,10
167,people.profession.corresponding_type,167
104,common.topic.notable_types,168
169,film.film.language,0
170,language.human_language.language_family,171
127,base.culturalevent.event.entity_involved,172
7,book.author.book_editions_published,114
78,people.person.place_of_birth,5
173,people.person.gender,174
135,time.event.locations,126
36,base.descriptive_names.names.descriptive_name,175
95,time.event.locations,176
5,location.location.people_born_here,177
61,royalty.kingdom.rulers,178
8,book.book.editions,8
179,people.person.nationality,67
167,freebase.type_profile.published,108
180,location.location.events,127
181,location.location.containedby,182
183,base.ontologies.ontology_instance_mapping.freebase_topic,36
13,base.culturalevent.event.entity_involved,62
184,location.location.contains,185
186,people.cause_of_death.includes_causes_of_death,187
188,base.culturalevent.event.entity_involved,189
4,common.topic.notable_types,51
190,book.written_work.subjects,10
191,rdf-schema#range,191
192,time.event.included_in_event,13
85,location.location.containedby,66
131,freebase.type_hints.included_types,41
193,common.topic.notable_types,16
194,time.event.included_in_event,13
26,base.rosetta.local_name.languoid,0
26,base.rosetta.local_name.languoid,0
195,type.type.properties,196
79,location.location.events,3
197,freebase.type_hints.included_types,41
42,time.event.locations,198
157,common.topic.notable_types,99
199,government.governmental_body.jurisdiction,5
0,media_common.netflix_genre.titles,200
7,book.author.book_editions_published,114
201,book.written_work.subjects,145
105,time.event.locations,202
203,freebase.type_hints.included_types,41
204,book.written_work.subjects,70
106,common.topic.notable_types,16
205,common.topic.notable_for,206
8,book.book.editions,8
202,location.location.events,207
208,music.artist.genre,21
46,location.country.form_of_government,45
8,book.book.editions,114
7,book.author.book_editions_published,114
191,type.property.expected_type,191
209,common.topic.notable_types,210
211,common.topic.notable_types,58
45,government.form_of_government.countries,212
135,base.culturalevent.event.entity_involved,213
214,location.country.capital,182
215,book.written_work.subjects,149
5,common.topic.image,216
217,time.event.locations,89
61,royalty.kingdom.rulers,218
0,education.field_of_study.academics_in_this_field,219
38,people.person.children,220
221,people.person.gender,174
0,base.ontologies.ontology_instance.equivalent_instances,222
115,book.written_work.subjects,145
8,book.book.editions,114
