src,edge_attr,dst
0,base.gender.personal_gender_identity.gender_identity,1
2,organization.organization.geographic_scope,3
4,periodicals.newspaper_circulation_area.newspapers,5
3,location.location.partially_contains,6
7,location.location.containedby,8
9,location.location.containedby,8
10,base.descriptive_names.names.descriptive_name,11
12,location.location.containedby,3
13,location.postal_code.country,4
14,common.topic.subject_of,15
3,periodicals.newspaper_circulation_area.newspapers,16
1,medicine.risk_factor.diseases,17
3,travel.travel_destination.how_to_get_here,18
19,freebase.type_hints.included_types,20
21,fictional_universe.fictional_character.places_lived,3
22,location.location.containedby,4
14,common.topic.subject_of,23
24,automotive.make.model_s,25
26,base.meedan.arabic_language_media_source.city,3
27,common.topic.subjects,14
3,location.citytown.postal_codes,28
29,common.topic.notable_types,19
30,location.location.time_zones,31
1,medicine.risk_factor.diseases,32
33,freebase.type_profile.published,34
24,base.cars_refactor.make.model_s,35
1,medicine.risk_factor.diseases,36
37,common.topic.notable_types,38
39,book.newspaper.circulation_areas,3
40,medicine.disease.parent_disease,41
10,base.descriptive_names.names.descriptive_name,42
1,medicine.risk_factor.diseases,43
44,common.webpage.in_index,45
6,location.location.containedby,4
24,common.topic.notable_for,46
47,organization.organization.geographic_scope,3
14,common.topic.subject_of,47
48,location.location.containedby,3
49,travel.travel_destination_monthly_climate.travel_destination,3
24,base.cars_refactor.make.model_s,50
51,time.event.locations,3
3,travel.travel_destination.tourist_attractions,52
53,common.image.appears_in_topic_gallery,3
54,location.location.containedby,8
55,travel.tourist_attraction.near_travel_destination,3
10,people.profession.specializations,56
57,medicine.disease.risk_factors,1
58,book.newspaper.circulation_areas,3
59,organization.organization.geographic_scope,3
60,common.topic.subject_of,61
3,organization.organization_scope.organizations_with_this_scope,62
24,common.topic.webpage,63
60,base.descriptive_names.names.descriptive_name,64
65,people.cause_of_death.parent_cause_of_death,41
3,location.location.nearby_airports,66
10,common.topic.subjects,67
68,common.topic.article,69
10,base.descriptive_names.names.descriptive_name,70
71,organization.organization.place_founded,3
72,aviation.airport.serves,3
1,base.gender.gender_identity.people,73
3,common.topic.subject_of,74
3,location.place_with_neighborhoods.neighborhoods,75
1,biology.hybrid_parent_gender.hybrids,76
71,common.topic.subject_of,71
77,medicine.disease.symptoms,78
3,periodicals.newspaper_circulation_area.newspapers,79
80,base.gender.personal_gender_identity.gender_identity,1
10,people.profession.specializations,81
82,people.person.employment_history,83
84,travel.tourist_attraction.near_travel_destination,3
85,aviation.airport.serves,3
4,location.country.first_level_divisions,8
3,base.popstra.location.vacationers,86
3,location.statistical_region.population,87
68,automotive.make.parent_company,88
24,base.cars_refactor.make.model_s,89
90,base.schemastaging.plural_form.language,91
1,common.topic.article,92
93,common.topic.notable_types,94
3,organization.organization_scope.organizations_with_this_scope,95
96,automotive.model.predecessor,97
98,education.educational_institution_campus.educational_institution,98
99,book.periodical.language,14
100,organization.organization.geographic_scope,3
101,travel.tour_operator.travel_destinations,102
10,base.descriptive_names.names.descriptive_name,103
104,business.consumer_company.brands,105
106,education.educational_institution.campuses,3
107,organization.organization.geographic_scope,3
3,travel.travel_destination.tourist_attractions,108
60,organization.organization_sector.organizations_in_this_sector,109
110,travel.tour_operator.travel_destinations,8
3,visual_art.art_subject.artwork_on_the_subject,3
24,business.consumer_company.products,111
10,base.descriptive_names.names.descriptive_name,112
96,automotive.model.successor,113
10,base.descriptive_names.names.descriptive_name,114
115,location.mailing_address.country,4
38,freebase.type_profile.kind,116
117,common.resource.annotations,118
119,location.location.containedby,8
10,people.profession.specializations,120
3,organization.organization_scope.organizations_with_this_scope,121
3,travel.travel_destination.tourist_attractions,122
123,common.topic.notable_types,38
124,book.newspaper.circulation_areas,4
125,organization.organization.geographic_scope,3
126,common.webpage.topic,24
127,organization.organization.geographic_scope,3
10,base.descriptive_names.names.descriptive_name,128
48,travel.tourist_attraction.near_travel_destination,3
129,book.newspaper.circulation_areas,3
130,book.periodical.language,14
3,organization.organization_scope.organizations_with_this_scope,131
3,organization.organization_scope.organizations_with_this_scope,132
10,people.profession.specializations,133
134,common.topic.subjects,10
135,travel.tourist_attraction.near_travel_destination,3
3,periodicals.newspaper_circulation_area.newspapers,136
1,medicine.risk_factor.diseases,137
24,automotive.make.model_s,138
139,travel.tourist_attraction.near_travel_destination,3
10,people.profession.specializations,140
141,organization.organization.place_founded,4
142,book.newspaper.circulation_areas,3
143,time.event.locations,3
3,location.statistical_region.population,144
4,periodicals.newspaper_circulation_area.newspapers,145
146,travel.tourist_attraction.near_travel_destination,3
24,automotive.make.model_s,147
10,people.profession.specializations,148
1,biology.hybrid_parent_gender.hybrids,149
150,book.newspaper.circulation_areas,3
3,travel.travel_destination.tourist_attractions,151
152,organization.organization.geographic_scope,3
122,location.location.containedby,3
10,organization.role.leaders,153
3,olympics.olympic_venue.olympic_events_contested_here,154
155,business.business_location.parent_company,155
156,common.topic.subjects,60
157,book.periodical.language,14
158,base.popstra.vacation_choice.location,3
159,travel.transportation.transport_terminus,160
3,travel.travel_destination.tourist_attractions,161
3,travel.travel_destination.tourist_attractions,162
163,base.schemastaging.plural_form.language,91
164,education.educational_institution.campuses,164
98,travel.tourist_attraction.near_travel_destination,3
3,common.topic.subject_of,165
3,location.place_with_neighborhoods.neighborhoods,166
167,common.topic.subjects,14
3,business.business_location.parent_company,168
169,organization.organization.geographic_scope,3
3,visual_art.art_subject.artwork_on_the_subject,3
170,base.popstra.vacation_choice.location,3
171,location.location.containedby,4
24,base.cars_refactor.make.model_s,172
24,automotive.make.model_s,173
60,base.descriptive_names.names.descriptive_name,174
3,travel.travel_destination.local_transportation,175
176,symbols.namesake.named_after,3
177,rdf-schema#range,38
8,periodicals.newspaper_circulation_area.newspapers,79
178,travel.tourist_attraction.near_travel_destination,3
179,base.schemastaging.plural_form.language,91
180,business.employment_tenure.person,181
101,travel.tour_operator.travel_destinations,6
75,location.neighborhood.neighborhood_of,3
182,book.newspaper.circulation_areas,3
10,people.profession.specializations,183
184,base.services.moving_service.moving_service_specialties,184
185,book.newspaper.circulation_areas,3
186,travel.transportation.transport_terminus,187
161,travel.tourist_attraction.near_travel_destination,3
3,location.location.time_zones,31
188,education.educational_institution_campus.educational_institution,188
189,location.location.containedby,4
190,symbols.namesake.named_after,3
191,location.location.containedby,8
1,medicine.risk_factor.diseases,192
131,organization.organization.geographic_scope,3
29,location.mailing_address.citytown,189
3,location.statistical_region.population,193
3,travel.travel_destination.how_to_get_here,159
184,organization.organization.locations,184
24,organization.organization.leadership,194
195,book.periodical.language,14
1,medicine.risk_factor.diseases,196
104,organization.organization_type.organizations_of_this_type,197
10,base.descriptive_names.names.descriptive_name,198
199,freebase.valuenotation.is_reviewed,200
201,sports.sports_team.location,3
60,base.descriptive_names.names.descriptive_name,202
14,common.topic.subject_of,203
204,base.schemastaging.plural_form.language,91
205,common.topic.image,206
30,travel.tourist_attraction.near_travel_destination,3
3,travel.travel_destination.tourist_attractions,207
10,base.firsts.achievement.firsts,208
209,architecture.building.building_complex,210
141,organization.organization.geographic_scope,4
211,location.location.containedby,4
3,exhibitions.exhibition_subject.exhibitions_created_about_this_subject,212
3,common.topic.image,53
3,travel.travel_destination.tourist_attractions,171
213,fictional_universe.fictional_setting.contained_by,3
214,exhibitions.exhibition.subjects,3
10,base.descriptive_names.names.descriptive_name,215
58,book.periodical.language,14
216,base.infection.biosafety_facility.location,3
18,travel.transportation.transport_operator,217
10,people.profession.specializations,218
3,organization.organization_scope.organizations_with_this_scope,219
3,travel.travel_destination.tourist_attractions,220
3,periodicals.newspaper_circulation_area.newspapers,150
10,base.descriptive_names.names.descriptive_name,221
222,medicine.icd_9_cm_classification.parent_classification,222
223,travel.travel_destination_monthly_climate.travel_destination,3
3,organization.organization_scope.organizations_with_this_scope,224
225,business.acquisition.acquiring_company,24
1,medicine.risk_factor.diseases,226
3,government.governmental_jurisdiction.agencies,227
228,organization.organization.place_founded,3
229,location.partial_containment_relationship.partially_contained_by,3
230,base.schemastaging.plural_form.language,91
3,travel.travel_destination.tourist_attractions,102
3,travel.travel_destination.climate,231
232,location.location.containedby,8
233,book.newspaper.circulation_areas,3
234,location.location.contains,235
236,exhibitions.exhibition.subjects,3
237,book.newspaper.circulation_areas,3
3,periodicals.newspaper_circulation_area.newspapers,145
238,book.newspaper.circulation_areas,3
8,olympics.olympic_participating_country.olympics_participated_in,239
12,travel.tourist_attraction.near_travel_destination,3
41,people.cause_of_death.parent_cause_of_death,41
83,business.employment_tenure.person,82
240,common.topic.notable_types,241
194,organization.leadership.organization,24
4,periodicals.newspaper_circulation_area.newspapers,79
242,travel.tourist_attraction.near_travel_destination,3
10,base.schemastaging.context_name.pronunciation,243
244,common.topic.notable_types,33
1,medicine.risk_factor.diseases,245
10,base.descriptive_names.names.descriptive_name,246
247,organization.organization.geographic_scope,3
3,travel.travel_destination.tourist_attractions,248
3,organization.organization_scope.organizations_with_this_scope,249
250,freebase.type_hints.included_types,20
124,book.newspaper.circulation_areas,3
1,medicine.risk_factor.diseases,251
3,travel.travel_destination.tourist_attractions,252
24,automotive.make.model_s,253
10,people.profession.specializations,254
95,common.topic.subjects,14
255,book.newspaper.circulation_areas,3
3,periodicals.newspaper_circulation_area.newspapers,124
3,travel.travel_destination.tourist_attractions,256
3,media_common.quotation_subject.quotations_about_this_subject,257
258,exhibitions.exhibition.produced_by,259
260,book.newspaper.circulation_areas,3
3,government.governmental_jurisdiction.agencies,261
3,base.popstra.location.arrestee,262
10,common.topic.subject_of,67
225,business.acquisition.divisions_formed,96
263,base.meedan.arabic_language_media_source.city,3
264,location.location.containedby,3
4,base.aareas.schema.administrative_area.administrative_children,8
210,travel.tourist_attraction.near_travel_destination,3
8,location.administrative_division.first_level_division_of,4
195,book.newspaper.circulation_areas,3
265,location.location.containedby,3
209,location.location.containedby,3
33,type.type.properties,266
3,travel.travel_destination.tourist_attractions,267
268,common.topic.notable_types,19
10,base.descriptive_names.names.descriptive_name,269
1,base.gender.gender_identity.people,80
249,organization.organization.geographic_scope,3
10,base.descriptive_names.names.descriptive_name,270
3,location.statistical_region.population,271
3,travel.travel_destination.tourist_attractions,98
3,periodicals.newspaper_circulation_area.newspapers,272
104,common.topic.notable_for,273
3,exhibitions.exhibition_subject.exhibitions_created_about_this_subject,236
3,sports.sports_facility.teams,274
60,common.topic.subject_of,275
23,organization.organization.geographic_scope,3
10,base.descriptive_names.names.descriptive_name,276
277,organization.organization.geographic_scope,3
10,base.descriptive_names.names.descriptive_name,278
3,location.statistical_region.population,279
280,transportation.road.major_cities,3
3,olympics.olympic_venue.olympic_events_contested_here,281
74,people.person.nationality,4
68,automotive.make.model_s,282
13,location.location.containedby,8
10,people.profession.specializations,283
3,travel.travel_destination.climate,284
3,travel.travel_destination.tourist_attractions,285
286,olympics.olympic_event_competition.olympic_games_contested,239
287,book.newspaper.circulation_areas,3
288,book.newspaper.circulation_areas,3
171,travel.tourist_attraction.near_travel_destination,3
3,travel.travel_destination.tourist_attractions,289
249,organization.organization.place_founded,3
14,common.topic.subject_of,290
48,education.educational_institution.campuses,48
161,location.location.containedby,4
291,base.schemastaging.corresponding_entity.entities,24
1,biology.hybrid_parent_gender.hybrids,292
293,organization.organization.geographic_scope,3
294,fictional_universe.fictional_setting.contained_by,3
295,travel.travel_destination_monthly_climate.travel_destination,3
60,base.descriptive_names.names.descriptive_name,296
4,location.location.time_zones,31
60,base.descriptive_names.names.descriptive_name,297
24,base.cars_refactor.make.model_s,298
3,exhibitions.exhibition_subject.exhibitions_created_about_this_subject,258
10,people.profession.specializations,299
300,fictional_universe.fictional_setting.contained_by,3
301,base.gender.personal_gender_identity.gender_identity,1
60,base.descriptive_names.names.descriptive_name,302
22,location.location.time_zones,31
303,book.newspaper.circulation_areas,4
3,travel.travel_destination.climate,49
304,transportation.bridge.locale,84
1,medicine.risk_factor.diseases,305
306,travel.tourist_attraction.near_travel_destination,3
104,organization.organization_type.organizations_of_this_type,307
10,people.profession.specializations,308
1,base.gender.gender_identity.people,309
3,location.location.containedby,8
310,base.gender.personal_gender_identity.gender_identity,1
242,location.location.containedby,3
311,book.newspaper.circulation_areas,3
24,people.person.gender,1
24,base.cars_refactor.make.model_s,312
3,travel.travel_destination.tourist_attractions,313
314,business.business_operation.major_customer,315
60,base.descriptive_names.names.descriptive_name,316
74,people.person.profession,10
24,organization.organization.founders,317
3,periodicals.newspaper_circulation_area.newspapers,157
3,base.popstra.location.vacationers,318
24,common.topic.webpage,319
24,automotive.make.model_s,320
6,location.location.partially_containedby,3
321,location.location.containedby,4
24,automotive.make.model_s,322
1,medicine.risk_factor.diseases,323
3,travel.travel_destination.tourist_attractions,324
3,location.statistical_region.population,325
326,book.newspaper.circulation_areas,3
327,location.partial_containment_relationship.partially_contains,6
3,location.location.containedby,328
329,organization.organization.geographic_scope,3
10,people.profession.specializations,330
3,olympics.olympic_venue.olympic_events_contested_here,331
