src,edge_attr,dst
0,location.statistical_region.population,1
2,location.location.containedby,3
4,location.location.time_zones,5
6,base.descriptive_names.names.descriptive_name,7
8,location.hud_county_place.county,9
10,location.hud_county_place.county,11
12,location.location.people_born_here,13
14,location.location.containedby,15
12,location.location.people_born_here,16
17,measurement_unit.dated_integer.source,18
15,location.location.time_zones,5
19,location.statistical_region.population,20
21,book.written_work.subjects,12
22,base.biblioness.bibs_topic.subsumes,22
23,location.location.containedby,19
6,base.descriptive_names.names.descriptive_name,24
25,freebase.type_hints.included_types,26
27,location.location.containedby,15
28,common.topic.notable_types,29
12,periodicals.newspaper_circulation_area.newspapers,30
5,time.time_zone.day_dst_ends,31
19,location.statistical_region.population,32
12,location.location.events,33
34,base.wikipedia_infobox.settlement.area_code,28
12,base.localfood.food_producing_region.seasonal_availability,35
12,base.ontologies.ontology_instance.equivalent_instances,36
37,location.location.containedby,15
12,location.location.events,38
39,measurement_unit.dated_integer.source,18
40,location.location.containedby,41
15,base.biblioness.bibs_topic.subsumes,15
42,location.location.containedby,41
19,location.statistical_region.population,43
44,base.biblioness.bibs_location.state,41
19,location.statistical_region.population,45
46,measurement_unit.dated_integer.source,18
11,location.location.containedby,3
37,location.location.containedby,41
47,location.location.containedby,3
48,film.film.featured_film_locations,3
3,location.location.contains,49
50,freebase.type_profile.strict_included_types,26
51,location.location.containedby,15
0,location.statistical_region.population,52
22,location.location.containedby,19
53,location.location.time_zones,5
54,people.place_lived.person,55
19,location.statistical_region.population,56
8,location.location.containedby,3
57,people.person.gender,58
47,location.location.time_zones,5
59,freebase.type_profile.strict_included_types,26
60,wine.wine.region,41
61,location.location.containedby,3
62,location.location.containedby,3
30,book.newspaper.circulation_areas,12
63,travel.tourist_attraction.near_travel_destination,64
65,location.location.containedby,41
66,common.webpage.topic,12
22,location.hud_county_place.county,19
67,people.person.nationality,15
0,location.statistical_region.population,68
69,freebase.type_profile.strict_included_types,70
69,freebase.type_hints.included_types,50
71,measurement_unit.dated_integer.source,72
73,people.person.place_of_birth,0
4,base.bigsky.landing_zone.flying_site,4
40,common.topic.notable_types,6
19,location.hud_foreclosure_area.estimated_number_of_mortgages,74
75,measurement_unit.dated_integer.source,18
19,location.location.people_born_here,76
19,location.location.people_born_here,77
19,location.location.people_born_here,78
0,location.location.containedby,3
55,american_football.football_player.position_s,79
55,baseball.baseball_player.lifetime_batting_statistics,80
19,location.statistical_region.population,81
40,location.location.time_zones,5
9,location.us_county.hud_county_place,82
83,organization.organization.geographic_scope,84
85,book.written_work.subjects,41
49,location.location.containedby,3
10,location.location.containedby,41
86,book.newspaper.circulation_areas,19
14,location.location.containedby,12
19,location.location.people_born_here,87
88,common.topic.notable_types,6
89,location.location.time_zones,5
12,location.location.people_born_here,90
53,location.location.containedby,3
19,location.statistical_region.population,91
55,people.person.education,92
93,organization.organization.locations,12
94,location.location.geolocation,95
53,location.location.containedby,15
19,location.statistical_region.population,96
12,base.localfood.food_producing_region.seasonal_availability,97
3,location.location.people_born_here,98
22,base.wikipedia_infobox.settlement.area_code,28
3,location.location.contains,99
5,base.schemastaging.context_name.pronunciation,100
51,location.location.containedby,41
19,location.statistical_region.population,101
0,location.statistical_region.population,102
15,base.biblioness.bibs_topic.is_really,15
103,location.location.containedby,15
19,organization.organization_scope.organizations_with_this_scope,104
47,common.topic.notable_types,6
105,location.adjoining_relationship.adjoins,19
19,location.hud_foreclosure_area.bls_unemployment_rate,106
19,location.us_county.hud_county_place,107
22,base.biblioness.bibs_location.country,15
94,location.location.containedby,0
3,location.location.contains,44
0,location.hud_foreclosure_area.total_90_day_vacant_residential_addresses,108
51,base.biblioness.bibs_location.state,41
109,measurement_unit.dated_integer.source,18
110,location.location.containedby,15
111,common.topic.notable_types,6
112,location.location.time_zones,5
12,base.localfood.food_producing_region.seasonal_availability,113
12,location.location.events,114
115,people.person.places_lived,116
12,location.location.people_born_here,117
23,location.location.containedby,12
118,base.aareas.schema.administrative_area_type.iso_country,15
0,location.hud_county_place.county,19
3,location.location.contains,53
119,rdf-schema#range,120
0,location.location.containedby,12
121,location.adjoining_relationship.adjoins,19
50,type.type.domain,25
82,location.location.time_zones,5
122,film.film.featured_film_locations,123
19,location.statistical_region.population,124
19,location.statistical_region.population,125
49,location.location.containedby,12
112,location.location.containedby,3
126,baseball.lifetime_batting_statistics.player,127
128,location.location.containedby,15
19,location.statistical_region.population,129
44,location.location.containedby,12
130,measurement_unit.dated_integer.source,18
82,location.location.containedby,3
131,wine.wine.region,41
19,location.location.people_born_here,132
19,location.statistical_region.population,133
134,freebase.type_profile.strict_included_types,135
12,location.location.events,136
34,location.location.containedby,41
137,baseball.batting_statistics.player,115
0,common.topic.image,138
22,location.location.containedby,12
44,base.ndbcd.buoy.region,41
12,location.location.people_born_here,139
12,location.location.people_born_here,140
19,location.location.people_born_here,141
69,freebase.type_hints.included_types,142
12,base.bigsky.region.site,4
6,base.descriptive_names.names.descriptive_name,143
144,wine.wine.wine_sub_region,19
12,location.location.events,145
146,base.biblioness.bibs_location.country,15
147,freebase.type_profile.published,148
149,base.wikipedia_infobox.settlement.area_code,28
73,music.artist.label,150
151,common.image.appears_in_topic_gallery,111
121,location.adjoining_relationship.adjoins,11
64,location.location.time_zones,5
94,location.location.contains,152
51,location.location.containedby,12
9,location.location.containedby,3
34,location.hud_county_place.county,19
37,location.location.time_zones,5
27,location.location.containedby,41
153,measurement_unit.dated_integer.source,18
122,film.film.featured_film_locations,12
22,base.biblioness.bibs_location.state,41
19,location.location.people_born_here,154
61,location.location.containedby,12
0,location.location.people_born_here,73
9,location.us_county.county_seat,111
155,location.adjoining_relationship.adjoins,19
19,location.us_county.hud_section_8_area,156
19,location.statistical_region.population,157
158,location.location.containedby,84
55,common.topic.notable_for,159
0,location.statistical_region.population,160
161,book.written_work.subjects,9
19,location.statistical_region.population,162
65,base.biblioness.bibs_location.city,3
128,location.location.time_zones,5
37,location.location.containedby,42
47,location.hud_county_place.place,47
0,location.hud_foreclosure_area.estimated_number_foreclosures,163
69,freebase.type_profile.strict_included_types,26
164,location.hud_county_place.place,164
99,location.location.containedby,3
110,common.topic.notable_types,6
165,location.location.containedby,41
73,music.artist.genre,166
84,location.hud_county_place.county,19
167,location.location.containedby,41
168,baseball.batting_statistics.player,127
19,location.hud_foreclosure_area.estimated_number_foreclosures,169
6,base.descriptive_names.names.descriptive_name,170
73,music.artist.genre,171
15,base.aareas.schema.administrative_area.pertinent_type,118
27,common.topic.notable_types,6
172,location.location.containedby,41
61,location.location.time_zones,5
6,base.descriptive_names.names.descriptive_name,173
12,location.location.people_born_here,174
12,location.statistical_region.population,175
0,location.hud_county_place.place,0
154,people.person.place_of_birth,19
