node_id,node_attr
0,united states of america
1,california
2,m.04lsxjt
3,united states dollar
4,penny
5,new jersey
6,colorado
7,mississippi
8,north carolina
9,missouri
10,"united states, with territories"
11,northern mariana islands
12,north america
13,cuba
14,south carolina
15,delaware
16,washington
17,m.03x8_16
18,united states mint
19,m.013161s6
20,south dakota
21,utah
22,north dakota
23,louisiana
24,lincoln cent mintage figures
25,maine
26,"washington, d.c."
27,marshall islands
28,nevada
29,illinois
30,new hampshire
31,arkansas
32,alaska
33,hawaii
34,m.064v5t3
35,vermont
36,nebraska
37,alabama
38,iowa
39,kingdom of the netherlands
40,caribbean special municipalities of the netherlands
41,oregon
42,georgia
43,oklahoma
44,indiana
45,florida
46,m.0p1z006
47,deputy director of the united states mint
48,massachusetts
49,federal government of the united states
50,united states virgin islands
51,rhode island
52,minnesota
53,panama
54,netherlands
55,m.04lsxjz
56,zimbabwe
57,bonaire
58,wyoming
59,maryland
60,ohio
61,palau
62,federated states of micronesia
63,american samoa
64,tennessee
65,new mexico
66,montana
67,kentucky
68,connecticut
69,michigan
70,wisconsin
71,m.0wjy6_l
72,guam
73,wheat_penny.jpg
74,virginia
75,idaho
76,g.125_qn7g2
77,el salvador
78,u.s. state
79,kansas
80,texas
81,2005-penny-uncirculated-obverse-cropped
82,lincoln / memorial cent
83,british virgin islands
84,2010 cent obverse
85,lincoln cent
86,arizona
87,west virginia
88,m.0s8gs17
89,director of the united states mint
90,m.09nqr
91,m.0wkc99r
92,pennsylvania
93,m.03lfvjf
94,puerto rico
95,cent
96,ecuador
97,turks and caicos islands
98,new york
99,m.01_63t
100,timor-leste
101,$1 to $100 notes
102,m.0zdjr8h
103,m.0kly56
104,u.s. federal district
105,m.04kq24y
106,m.02c0vxd
107,m.04lsxk3
108,supreme court of the united states
109,usdnotes.png
110,various
111,m.02fpqt8
112,m.064c63z
113,currency
114,coins of the united states dollar
115,m.09x0tdb
116,seal of the u.s. mint
117,g.125b9r2kt
118,m.015t_1
119,governmental body
120,g.1258t_b37
121,continental currency
