node_id,node_attr
0,"gilbert du motier, marquis de lafayette"
1,louis xvi of france he knew marquis de lafayette
2,m.02_1x1x
3,male
4,"marie thérèse, madame royale"
5,marie-josã¨phe de saxe
6,house of bourbon
7,charles iii of spain
8,louisville
9,m.09y9785
10,m.0j4lfr7
11,marriage
12,françois joseph paul de grasse
13,g.11btt4mqrz
14,georges cadoudal
15,palace of versailles
16,"louis philippe i, duke of orléans"
17,louis xvi of france
18,m.05yx_7h
19,rameau wrote music for his birth david voted for his execution he banished the de grasse.
20,paine spoke against his execution.
21,jefferson county
22,united states of america
23,2012 thunder over louisville
24,g.11x1d3nc2
25,40205
26,spain
27,madame roland
28,paris
29,catholicism
30,university of louisville
31,m.0_5nrt0
32,joseph delaunay
33,deceased person
34,transient ischemic attack
35,louis xvi of france execution approved by jacques-louis david
36,"unsurprisingly, turgot faced serious opposition from a royal household determined not to surrender its perks."
37,"turgot had plans to impose a strict economy on the government and the royal households,  rework the entire system of taxation, abolish the monopoly of the guilds and remove internal barriers to the circulation of grain."
38,m.0k7k5dd
39,louis xv of france
40,"louis, duke of burgundy"
41,m.0hl1dqc
42,french people
43,jean-luc picard
44,guillotine
45,olympe de gouges
46,louis xvii of france
47,m.05yx_d5
48,g.11x1cbc_m
49,gout
50,noble person
51,person
52,versailles
53,versailles palace
54,princess sophie hélène béatrice of france
55,barrett's esophagus
56,m.0cnndr2
57,40292
58,abdominal aortic aneurysm
59,cardiovascular disease
60,prostate cancer
61,house of bonaparte
62,m.03lnmzn
63,henri désiré landru
64,"louis joseph, dauphin of france"
65,1976 ncaa men's division i basketball tournament
66,1976 ncaa men's division i basketball tournament - midwest regional semifinals
67,m.0wg8pqf
68,kentucky
69,stripes
70,thomas jefferson
71,date of death
72,m.0hkhrhv
73,40251
74,hamida djandoubi
75,decapitation
76,epilepsy
77,louis xvi of france finance minister was jacques necker
78,place de la concorde
79,luxor obelisk
80,m.0j_4jg
81,40219
82,heart attack
83,louis xviii of france
84,m.05st_1w
85,princess henriette of france
86,40250
87,university of louisville school of law
88,brandeis law school library
89,m.07n73w_
90,dwight anderson memorial music library
91,ange-jacques gabriel
92,france
93,2009 flyover film festival
94,bowman field
95,louisville metropolitan area
96,marie thérèse of france
97,louisville panthers
98,m.011058zz
99,m.0j7v__g
100,parkinson's disease
101,seborrheic dermatitis
102,occitan language
103,cathedral
104,"despite this, his popularity with the court sank when he revealed his 'compte rendu', (account rendered), in which he published the country's public finance accounts."
105,"necker favored financial reform,  and imposed spending restrictions which enabled him to fund the americans without raising taxes."
106,college/university
107,m.02_98hd
108,m.0k6l_y_
109,georgia
110,louisville herald-post
111,indiana
112,2004 louisville jewish film festival
113,tv character
114,topic
115,g.11b66jrzpt
116,m.05nt3y0
117,louisville cardinals softball
118,m.05zpq8
119,rozalia lubomirska
120,julie halard-decugis
121,franco-provençal language
122,château de meudon
123,jules hardouin-mansart
124,"in january of 1793, louis was tried for treason and condemned to death."
125,"on the morning of 21st january 1793, both he and marie antoinette were beheaded."
126,m.09xnm1j
127,m.0_5nw0n
128,lanzenkirchen
129,city/town/village
130,château
131,m.0k0g5_
132,m.0v05ym9
133,m.0ng_1fz
134,william f. ekstrom library
135,40205-2808
136,jean sylvain bailly
137,catalan language
138,basque language
139,indiana-coastal carolina 1991 ncaa men's division i basketball tournament game
140,kentucky science center
141,monarch
142,m.07ngf5y
143,midnight in paris
144,john milton
145,"many people, including gouverneur morris, the american minister in paris, suggested to louis that the time had come to run for it, but he would not listen,  mistakenly believing that his people still wanted him."
146,louis' actions triggered the storming of the bastille prison on 14th july 1789.
147,princess thérèse of france
148,w.w. abbot
149,"maria josepha of saxony, dauphine of france"
150,louisvillemsa-census04
151,m.07d5ggx
152,40222
153,m.09y9478
154,m.0j3q25_
155,king of navarre
156,"the function of the assembly was to advise the king, each chamber having a vote."
157,"because the members of the commons far outnumbered the clergy or the nobility,  the third estate soon began to demand that voting should on an individual basis, not by chamber."
158,cause of death
159,kidney stone
160,andré le nôtre
161,"louis antoine, duke of angoulême"
162,m.0kx9q
163,isabella ii of spain
164,ferdinand vii of spain
165,secretariat
166,the scarlet pimpernel
167,m.0_5nvpx
168,eastern time zone
169,louis xvi of france saw demo by valentin hauy
170,saw demo by
171,m.0d521lm
172,m.0vsc9wm
173,g.125cjmv_5
174,louise anne de bourbon
175,william b. pirtle
176,charles x of france
177,"louis, dauphin of france"
178,grawemeyer award
179,g.125ckkbp7
180,louis xvi of france banished comte de grasse
181,saint-denis
182,denis
183,armand louis de gontaut
184,1991 ncaa men's division i basketball tournament - southeast regional second round
185,event
186,g.1jmcbgvbp
187,marie-thérèse in 1827
188,2003 louisville jewish film festival
189,marie louise élisabeth d'orléans
190,m.025m194
191,m.0j4lfrf
192,alfonso xiii of spain
193,bernard de bury
194,40287
195,m.0ng_1fl
196,the courier-journal
197,m.0_5p0sb
198,augustin robespierre
199,louis-charles de flers
200,m.011k7jdb
201,louis xvi of france he knew joseph-louis lagrange
202,40253
203,witnessed montgolfier animal-crewed balloon flight napoleon's career was boosted by his death.
204,aimar-charles-marie de nicolaï
205,m.0p1qhsw
206,louis xvi
207,princess élisabeth of france
208,house of wettin
209,basilica of st denis
210,princess marie zéphyrine of france
211,m.0hkhrsn
212,dupuytren's contracture
213,"on 27th april 1774, his father died of smallpox, louis became king and the illiterate maria-antonia became queen marie-antoinette."
214,providence-alabama 1987 ncaa men's division i basketball tournament game
215,princess sophie of france
216,actinic keratosis
217,kingdom of france
218,louis xiii of france
219,pierre de beaumarchais
220,maria josepha of austria
221,"as might be expected, necker was sacked."
222,"he also revealed how much the king, who was exempt from taxation, spent on his household."
223,charlotte corday
224,1961 ncaa men's division i basketball tournament
225,1961 ncaa men's division i basketball tournament - mideast regional finals
226,m.0grgp
227,charles iv of spain
228,chateau de versailles
229,"charles ii, duke of parma"
230,40220
231,m.010qbxdx
232,"unfortunately, in publishing it, he revealed to taxpayers how much money taxes took from them."
233,m.0k7fn46
234,churchill downs
235,date of birth
236,friedrich von der trenck
237,france was already an ally of the american colonial rebels in their war of independence against the british.
238,massimo zanini
239,italy
240,female
241,pancreatic cancer
242,construction of saint denis basilica
243,pierre gaspard chaumette
244,attention deficit hyperactivity disorder
245,m.066hjv6
246,40221
247,dauphin county
248,kingdom of etruria
249,m.02kq4t2
250,louis xvi of france first minister was anne-robert-jacques turgot
251,"anne-robert-jacques turgot, baron de laune"
252,"xavier, duke of aquitaine"
253,m.0hkhrt2
254,m.0h3bry9
255,banished
256,m.02h91xt
257,felipe vi of spain
258,to date
259,gastritis
260,"skyline of louisville, kentucky"
261,grand appartement du roi
262,marie antoinette
263,sebaceous cyst
264,m.066hjwx
265,missouri-texas tech 1976 ncaa men's division i basketball tournament game
266,the national assembly drew up a new constitution on 4th august and issued the 'declaration of the rights of man'.
267,people who died this way
268,louis antoine de saint-just
269,1991 ncaa men's division i basketball tournament - southeast regional first round
270,florida st.-southern california 1991 ncaa men's division i basketball tournament game
271,m.07c9tnm
272,1983 ncaa men's division i basketball tournament - midwest regional second round
273,2013 flyover film festival
274,m.03wz4x_
275,in the conservatory
276,"eventually, when he tried to reform the royal corvee (the organization of forced labor on roads and bridges) opposition was so strong that he was forced to resign."
277,"with turgot out of the way, maurepas' put jacques necker in charge of public finances."
278,g.1256fvz3z
279,m.063s3s0
280,m.05nv9bn
281,valentin haüy
282,zasporn
283,m.0hkhrsd
284,m.0hl1dn4
285,marguerite-élie guadet
286,m.07c9tm7
287,william of sens
288,kentucky museum of art and craft
289,"the trap was sprung when the first act of the new convention, on 21st september 1791, was to abolish the monarchy."
290,m.0v05wtn
291,philibert françois rouxel de blanchelande
292,m.0r43s5n
293,40242
294,date/time
295,"later, austria was found to be hatching a pro-louis plot, so the national assembly declared war on the austrians."
296,waverly hills sanatorium
297,louis xvi et marie-antoinette
298,"knew lagrange, lafayette."
299,andré chénier
300,m.0d5218t
301,1983 ncaa men's division i basketball tournament - midwest regional first round
302,m.066hjy6
303,m.07b875p
304,m.0djbp
305,2014 louisville's international festival of film
306,m.0gxvv0q
307,40228
308,the louisville times
309,"they were returned to paris, where louis was made a constitutional monarch, with all power now in the hands of the common people."
310,corneal abrasion
311,louis pierre manuel
312,m.04j64q8
313,kentucky derby museum
314,m.02zd4tr
315,m.03lgnh1
316,"frederick iii, prince of salm-kyrburg"
317,versailles saint-quentin-en-yvelines university
318,"on 20th june 1789, this new body was established and named the national assembly."
319,portrait dauphin louis france hi
320,40202
321,kidney cancer
322,"louis xiv had taken away civil liberties, revoking the edict of nantes (which had given the huguenot protestants religious freedom) and draining the economy with his wars."
323,kentucky kingdom
324,m.063s3rn
325,40283
326,"robert i, duke of parma"
327,house of valois
328,g.11b7zfzkkp
329,jeanne gerard
330,augustus iii of poland
331,iowa-utah state 1983 ncaa men's division i basketball tournament game
332,g.11x1l0c17
333,the ruin of a princess
334,m.0k1bn4n
335,g.1jmcbjyb1
336,opencyc
337,m.0v05ytv
338,luxembourg
339,french
340,m.066hjw4
341,juan carlos i of spain
342,m.09w89wd
343,from date
344,urolithiasis
345,phone trick
346,the record
347,latin european peoples
348,belle of louisville
349,execution of louis xvi
350,louis xvi - execution
351,louisville slugger museum & factory
352,frazier international history museum
353,louis xvi of france execution opposed by thomas paine
