node_id,node_attr
0,i say what you scared to say
1,the original kings of comedy
2,m.0znfwm6
3,bernie 'mac' mccullough
4,sarcoidosis
5,jama dermatology
6,m.0j56ql5
7,spike lee
8,get on the bus
9,je'niece childress
10,female
11,george carlin
12,kevin moyers
13,broadband comedy network (bcn)
14,george lopez
15,m.09y4htk
16,who's the man?
17,r (usa)
18,richard pryor
19,paul mooney
20,"we don't die, we multiply: the robin harris story"
21,stand-up comedy
22,cardis cardell willis
23,male
24,television producer
25,m.09ypp_6
26,m.0_sv451
27,35th naacp image awards
28,top five
29,film
30,40 acres and a mule filmworks
31,m.0_svwzz
32,naacp image award for outstanding actor in a comedy series
33,sam kinison
34,bill cosby
35,dave chappelle
36,sheryl underwood
37,m.0gcm3ms
38,sarah silverman
39,country of nationality
40,mary mccullough
41,bernie mac
42,redd foxx
43,rip taylor
44,barrett's esophagus
45,vittorio leonardi
46,m.094fx1x
47,entertainment weekly annotation index
48,mo' money
49,orson welles
50,screenwriter
51,tom laughlin
52,film producer
53,stocker fontelieu
54,actor
55,don't be a menace to south central while drinking your juice in the hood
56,english language
57,comedies
58,bill burr
59,parents
60,voice actor
61,m.0yq9dfg
62,"jo jo dancer, your life is calling"
63,m.0jz124
64,percy jones
65,martin lawrence
66,new york city
67,mrberniemac
68,tv writer
69,i think i love my wife
70,comedy
71,"richard pryor: i ain't dead yet, #*%$@!!"
72,m.0k6143
73,d. l. hughley
74,m.094ntvj
75,m.0z9nh18
76,matt damon
77,place of death
78,qin shaobo
79,m.0_tm6yj
80,m.07n73w_
81,profession
82,m.0z9t0z1
83,2005 teen choice awards
84,scott caan
85,m.04dn18z
86,tom rhodes
87,bill hicks
88,parkinson's disease
89,seborrheic dermatitis
90,dat phan
91,m.02_98hd
92,def jam's how to be a player
93,cheech marin
94,m.0gz7047
95,m.0cg23_t
96,m.0bgqfng
97,tawni hart
98,jerry seinfeld
99,pancreatic cancer
100,disease or medical condition
101,van toffler
102,multiple sclerosis
103,above the rim
104,carl reiner
105,george clooney
106,date of birth
107,m.0cfzw33
108,mr. johnson
109,part two
110,m.0n4xg5q
111,satellite award for best actor - television series musical or comedy
112,children
113,person
114,blue comedy
115,kirk douglas
116,cheech & chong
117,dick gregory
118,the bernie mac show - season 3
119,m.02t8gv_
120,atlanta ga
121,kathy griffin
122,richard pryor: live on the sunset strip
123,tampa
124,united states of america
125,eddie jemison
126,place of birth
127,daniel keyes
128,nabil abdul rashid
129,erythema nodosum
130,st. louis
131,m.0n4s483
132,gender
133,m.0z9w7mx
134,the bernie mac show
135,m.0943qzp
136,m.0v_922g
137,moms mabley
138,eddie murphy
139,kevin hart
140,charlie chaplin
141,james brown
142,pneumonia
143,deceased person
144,date of death
145,carrot top
146,bob saget
147,m.0sglyvp
148,kids' choice award for favorite tv actor
149,old dogs
150,monitor
151,m.094pwj4
152,brad pitt
153,jack benny
154,nipsey russell
155,asses on the isle of mann
156,honor deferred
157,chris rock
158,down to earth
159,snl - 28.16
160,good charlotte
161,m.09njkw5
162,m.0sgm1c5
163,samuel l. jackson
164,pat hingle
165,m.08pc35q
166,m.09njkwz
167,bad santa
168,soul men
169,m.02vbf9k
170,ocean's eleven
171,malik hassan sayeed
172,african american
173,complications from pneumonia
174,fred delmare
175,richard belzer
176,stroke
177,psychosis
178,m.09w5z21
179,anthony anderson
180,howard stern
181,kiss urass goodbye
182,gavin stephens
183,m.09w5svj
184,maybe you never cry again
185,book
186,m.0j6d48k
187,location of ceremony
188,franklyn ajaye
189,robert l. hines
190,life
191,m.0ysrsp6
192,joseph scoren
193,m.0dm5yyd
194,blissful celebrities
195,film actor
196,mike birbiglia
197,m.09419q1
198,muddy waters
199,charlton heston
200,frank catton
201,a brand new day / liberation ballet - a brand new day
202,michael jackson
203,jeremy yablan
204,pete hornberger
205,m.094955y
206,cheesy does it: a quartet of celebrity memoirs
207,charlie's angels: full throttle
208,m.0n3ltjn
