node_id,node_attr
0,m.0y4n6ly
1,2013 laurence olivier awards
2,dorothy arzner
3,united states of america
4,this is the army
5,musical comedy
6,"for your country and my country (feat. piano: george gershwin, piano: rudolph o. erlebach)"
7,musical album
8,m.0vnhvk9
9,linda louise emmet
10,george gershwin
11,m.09w6v1r
12,entertainment weekly annotation index
13,irving berlin
14,annie get your gun (1963 berlin cast)
15,sally
16,al dubin
17,a fella with an umbrella
18,jerome kern
19,easter parade
20,inventing mary martin
21,noël coward
22,carolyn leigh
23,lyricist
24,m.0vnhvrk
25,marriage
26,sidney sheldon
27,author
28,blue skies
29,film
30,morrie ryskind
31,male
32,happy holiday
33,call me madam (1995 new york cast)
34,how's chances?
35,unsung irving berlin
36,g.125cng6tp
37,white christmas
38,phil davis
39,as thousands cheer
40,moss hart
41,annie get your gun
42,you keep coming back like a song
43,kurt weill
44,beautiful faces need beautiful clothes
45,g.1yp3bf8bg
46,hello pop!
47,m.08ct36j
48,shaking the blues away
49,composition
50,yip yip yaphank
51,m.0y4hh7z
52,award
53,english language
54,be careful it's my heart
55,"be careful, it's my heart"
56,female
57,it only happens when i dance with you
58,m.0zfbwd2
59,sammy cahn
60,roger edens
61,puttin' on the ritz
62,puttin on the ritz
63,maybe it's because i love you too much
64,song
65,louisiana purchase (1996 original new york cast)
66,m.09sczxy
67,under a texas moon
68,the girl that i marry
69,medley
70,annie get your gun: anything you can do
71,when the midnight choo-choo leaves for alabam'
72,when the midnight choo choo leaves for alabam'
73,you can't get a man with a gun
74,my defenses are down
75,my defences are down
76,you can have him
77,the covered wagon
78,sammy fain
79,new york city
80,m.0n5knxh
81,achievement level
82,m.0b47g12
83,god bless america
84,a couple of swells
85,parents
86,anything you can do
87,anything you can do (outtake)
88,blue skies: irving berlin songbook
89,you're just in love
90,"you're just in love (call me madam, 1950 studio cast)"
91,steppin' out with my baby
92,sigmund romberg
93,the ragtime violin
94,sisters
95,mandy
96,mandyberlincover
97,waldemar young
98,all by myself
99,(i wonder why) you're just in love
100,adolph green
101,m.0_b_c84
