node_id,node_attr
0,bonita jackson
1,derrick peterson
2,m.02_1x1x
3,male
4,m.011v46vk
5,location of ceremony
6,anderson county
7,palestine
8,american football player
9,profession
10,guerrilla decontextualization and the 2012 presidential election campaign (part 1)
11,african american
12,m.09kn61x
13,2009 nfl season
14,transient ischemic attack
15,sioux falls
16,united states of america
17,location
18,topic
19,m.09k02ml
20,adrian peterson
21,gout
22,first presbyterian church
23,barrett's esophagus
24,m.0_qxs6c
25,nominated work
26,abdominal aortic aneurysm
27,cardiovascular disease
28,prostate cancer
29,m.09w10n8
30,m.07csfzf
31,tyrese robert ruffin
32,date of birth
33,athlete
34,m.0z3tw5k
35,m.0b48y87
36,wsj speakeasy index
37,minnesota vikings
38,m.02h7kn3
39,epilepsy
40,m.0_qxbfk
41,2nd annual nfl honors
42,m.0_qycyc
43,heart attack
44,m.098k575
45,english language
46,m.07n73w_
47,"“in addition to her musical sensibilities, [nina simone] also possessed a social/political consciousness that was magnified by friendships with individuals like the playwright lorraine hansberry, author james baldwin, and author langston hughes, all of whom at various times lent their artistry to the struggle for racial equality.”"
48,gene watson
49,m.0j7v__g
50,southern united states
51,harlem renaissance way down south
52,parkinson's disease
53,seborrheic dermatitis
54,d'glester hardunkichud
55,m.02_98hd
56,m.0_qxkpt
57,m.0yzqzqd
58,2013 espy awards
59,spouse
60,spouse (or domestic partner)
61,m.05zpq8
62,person
63,m.08nlwmz
64,m.07z2b0z
65,nfl honors - fedex ground player of the year
66,harlem renaissance
67,songs of my people
68,m.03gkk7c
69,university of oklahoma
70,children
71,nelson peterson
72,g.1255gjyqw
73,m.0c542b_
74,american football
75,parents
76,g.11x1kpqnr
77,m.09ym_fk
78,m.0z438_x
79,player
80,national football league most valuable player award
81,m.0qdp_qr
82,75882
83,m.0_qymlt
84,frank carswell
85,m.0_qyh_y
86,kidney stone
87,m.07vznc3
88,memory-song painted gold: for the blue yusef lateef (1920-2013)
89,m.0d521lm
90,m.0yzqxb5
91,best comeback athlete espy award
92,sacred heart catholic church and school
93,m.09rf4qp
94,m.0g8qg3r
95,ethnicity
96,published
97,bright skylark literary productions
98,"savannah: brokers, bankers, and bay lane"
99,m.0b48pfv
100,m.0k6l5j6
101,m.0y_ynv1
102,m.0hmhfnv
103,m.09xsqkm
104,report on 2011 international year part 4 haiti's hope now and tomorrow
105,american english
106,rushing
107,running back
108,hs running back
109,place of birth
110,m.0g8qg34
111,m.07tdr13
112,black history month enhanced by international year for people of african descent
113,black history month
114,m.07yccy2
115,m.05gmrc3
116,"“however the world community chooses to interpret it, where michael jackson himself is concerned, if the purpose of a legacy is to help make the world a richer, more fulfilling, and more humane place than it was during one’s lifetime, he can rest in peace knowing he did exactly that.” --from michael jackson, legacies of a globetrotting moonwalking philanthropist"
117,notebook on black history month 2012 (part 1): carter g. woodson and company
118,brandon sisk
119,dupuytren's contracture
120,the new black
121,african voices a soulful collection of art and literature
122,african-american monument
123,sea island creole english language
124,m.04kt42p
125,national football league rookie of the year award
126,actinic keratosis
127,m.0791f4z
128,m.08nlvz9
129,deceased person
130,m.0j33s96
131,united states dollar
132,country of nationality
133,country
134,m.09y422x
135,adeja peterson
136,g.1255z38l8
137,m.09ys0vx
138,eldon peterson
139,pancreatic cancer
140,m.07z29xg
141,attention deficit hyperactivity disorder
142,m.01z0fd_
143,m.0wkbdk1
144,g.11x1jtbmr
145,"\""from her gospel-singing mother cissy houston, her legendary pop-diva cousin dionne warwick, and her queen of soul godmother aretha franklin, she [whitney houston] inherited gifts for skillfully interpreting lyrics and endowing them with new depth and jeweled nuance.\"""
146,m.07sh4n3
147,hingle mccringleberry
148,m.096pnjx
149,m.0hmhfjv
150,m.0_qymdn
151,oscar dugey
152,gastritis
153,the wisdom of w.e.b. du bois
154,african diaspora
155,sebaceous cyst
156,m.09wtdky
157,m.07yccfn
158,m.09wwv2n
159,"\""the fact that a significant number of black youths' deaths can be described as the result of “black on black” violence does not negate the truth or root causes at the core of the issue.\"""
160,m.09grmzt
161,african american vernacular english
162,txmap-doton-palestine
163,m.0jvw3hk
164,m.096pn74
165,jaylon brown
166,winning work
167,m.0b47qvy
168,"trayvon martin, robert lee, and millions of tears fallen (part 1)"
169,gender
170,texas
171,m.09tcr4n
172,m.09tcr9k
173,savannah tribune
174,m.096pmkk
175,m.0b487ww
176,female
177,zasporn
178,m.0g8qfbh
179,footballdb id
180,best breakthrough athlete espy award
181,m.0z43cwx
182,m.09grmhg
183,m.088yfgv
184,m.07vzmsr
185,m.09y065m
186,notebook on black history month 2012 (part 6) the consecrated soul of whitney houston
187,m.0d5218t
188,the consecrated soul of whitney houston
189,m.09rm9ns
190,m.0gxvv0q
191,corneal abrasion
192,m.09ys4my
193,g.11x1ct2bl
194,best nfl player espy award
195,m.088yf5c
196,m.04j64q8
197,m.02zd4tr
198,the approaching 100th anniversary of the harlem renaissance (part 2)
199,m.09w7g5_
200,kidney cancer
201,m.07sh4b5
202,m.07csfyr
203,area codes 430 and 903
204,m.0_qxb1r
205,m.09y4_xz
206,m.07yccsd
207,orin incandenza
208,d.j. hall
209,m.08nlwb7
210,m.0hmhfmz
211,brian peterson
212,m.0j33rlf
213,anderson county courthouse
214,anderson courthouse tx 2010
215,m.0hmhfm8
216,m.0_qxk5n
217,ap most valuable player
218,asthma
219,savannah talks troy anthony davis no. 12: u.s. supreme court rejects appeal
220,central time zone
221,from
222,date/time
223,urolithiasis
224,phone trick
225,m.0hmhfkh
226,10 great moments in african-american history
227,2008 espy awards
228,m.0b478cr
229,to
230,m.0791fd9
231,m.0hmhfld
232,m.0_91849
233,position(s)
234,m.098k4xj
235,m.0_qxjbh
236,africanamericans2
237,myocardial ischemia
238,m.09k034h
239,m.0y_ynvv
240,hair loss
241,m.03gkm4h
242,m.0k6l5h_
243,g.11x1dg6y7
244,m.09w362d
245,1911 golden potlatch - afro-americans
246,m.0hmhfkz
247,m.0kfyrv7
248,african american rock musicians
249,syphilis
250,m.0_qxkv3
251,hirschsprung's disease
252,ashley brown
253,m.07nvp4q
254,donte j
255,stroke
256,m.09rf4kt
257,2008 nfl season
258,multiple myeloma
259,african american national biography project
260,adrian l
261,notebook on black history month 2012 (part 4) the black power mixtape 1967-1975
262,m.0_qyhcv
263,m.07csfyz
264,pepsi next rookie of the year
265,m.0h2pk50
266,nfl: all day with adrian peterson
267,m.09tcqvd
268,city/town/village
269,m.0zm9_69
270,m.0yzcvhm
271,the approaching 100th anniversary of the harlem renaissance (part 1)
272,adrianpeterson
273,m.0kjrkq
274,a. a. ron balakay
275,m.05bvjy3
276,spanish language
277,jessie daniel ames
278,dan smith
279,passing
280,m.0bm6pqb
281,m.0hmhfk8
282,ernest allen guinn
283,m.04j64rh
284,m.09rm9bf
285,m.09rf479
286,jerry sadler
287,m.0903l40
288,esophageal cancer
289,m.09x81jk
290,m.0hmhfk1
291,m.05tkmz2
292,"\""the emancipation proclamation...can remind us in 2013 of all the mistakes we never want to commit again but it can also motivate us to fulfill to an ever greater degree the definitive freedom-sustaining and life-enhancing principles of democracy in living action.\"""
293,notes on the 150th anniversary of the emancipation proclamation
294,m.09w163n
295,ozamataz buckshank
296,g.11x1dzxkq
297,g.11bymnt5gq
298,m.07sh4tx
299,m.0hmhfnd
300,amyotrophic lateral sclerosis
301,m.0_9182p
302,m.09wwqj3
303,"david fincher’s latest nike commercial, with adrian peterson"
304,m.0g8qg56
305,males
306,m.05bvk3z
307,m.03pkmt6
308,nfl play of the year award
309,m.0_qwmrv
310,african american review
311,people born here
312,m.09kn66d
313,m.07csfyj
314,m.09grmt9
315,football player
316,g.11x1cxs5j
317,m.0hmhfn5
318,m.07tdpg7
319,kyphosis
320,sfx award for best actor
321,m.09y0hb2
322,m.09x2nkc
323,m.04mmfr8
324,m.088ydg3
325,m.0kfyrt3
326,m.0903lq4
327,pyloric stenosis
328,nfl: in just one play
329,m.07z29lx
